eo_number,document_number,title,president,signing_date,publication_date,citation,body_char_count,pdf_url,raw_text_url,summary,primary_topic,primary_topic_as_extracted,topic_other_reason,secondary_topics,instrument,instrument_other_reason,finish_reason
12901,94-5434,Identification of Trade Expansion Priorities,William J. Clinton,1994-03-02,1994-03-08,59 FR 10727,5534,,https://www.federalregister.gov/documents/full_text/text/1994/03/08/94-5434.txt,"The order delegates authority to the United States Trade Representative to identify trade‑expansion priorities, report on them, and initiate investigations and negotiations.",trade,,,[],delegates_authority,,stop
12902,94-5834,Energy Efficiency and Water Conservation at Federal Facilities,William J. Clinton,1994-03-08,1994-03-10,59 FR 11463,43268,,https://www.federalregister.gov/documents/full_text/text/1994/03/10/94-5834.txt,"Executive Order 12902 establishes interagency bodies to coordinate federal energy‑efficiency, water‑conservation and renewable‑energy actions, sets agency goals, reporting and implementation deadlines, and revokes most of EO 12759.",energy_and_environment,,,[],creates_body,,stop
12903,94-5915,Nuclear Cooperation With EURATOM,William J. Clinton,1994-03-09,1994-03-11,59 FR 11473,1478,,https://www.federalregister.gov/documents/full_text/text/1994/03/11/94-5915.txt,The order extends the period of peaceful nuclear cooperation with the European Atomic Energy Community to 10 March 1995 and supersedes Executive Order 12840.,energy_and_environment,,,[],revokes_or_amends,,stop
12904,94-6696,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank",William J. Clinton,1994-03-16,1994-03-21,59 FR 13179,1788,,https://www.federalregister.gov/documents/full_text/text/1994/03/21/94-6696.txt,"Executive Order 12904 designates four existing North American bodies as public international organizations entitled to the privileges, exemptions, and immunities of the International Organizations Immunities Act.",government_administration,,,[],delegates_authority,,stop
12905,94-7635,Trade and Environment Policy Advisory Committee,William J. Clinton,1994-03-25,1994-03-29,59 FR 14733,4954,,https://www.federalregister.gov/documents/full_text/text/1994/03/29/94-7635.txt,Executive Order 12905 establishes the Trade and Environment Policy Advisory Committee.,trade,,,[],creates_body,,stop
12906,94-9117,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,William J. Clinton,1994-04-11,1994-04-13,59 FR 17670,13777,,https://www.federalregister.gov/documents/full_text/text/1994/04/13/94-9117.txt,"Executive Order 12906 directs the Federal Geographic Data Committee (FGDC) to create an electronic National Geospatial Data Clearinghouse, sets multiple agency‑level deadlines for documenting, standardizing, and publicly sharing geospatial data, requires agencies to use the Clearinghouse before spending on new data collection, and tasks the FGDC and the Secretary of the Interior with developing a national digital geospatial data framework and partnership strategies. The order references OMB Circulars A‑16, A‑119, A‑130 and the National Performance Review.",technology_and_research,,,"[""government_administration""]",creates_body,,stop
12907,94-9419,Amending Executive Order No. 12882,William J. Clinton,1994-04-14,1994-04-18,59 FR 18291,922,,https://www.federalregister.gov/documents/full_text/text/1994/04/18/94-9419.txt,Executive Order 12907 amends EO 12882 to change the membership count of the President’s Committee of Advisors on Science and Technology.,technology_and_research,,,[],revokes_or_amends,,stop
12908,94-10241,Order of Succession of Officers To Act as Secretary of the Army,William J. Clinton,1994-04-22,1994-04-26,59 FR 21907,3263,,https://www.federalregister.gov/documents/full_text/text/1994/04/26/94-10241.txt,"The order establishes the line of succession for the Secretary of the Army, designating the Under Secretary first, followed by Assistant Secretaries/General Counsel (ordered by length of service), then the Chief of Staff. The same order applies to temporary absences or disabilities, but acting appointments are limited to the period of absence and do not affect the Secretary’s right to resume duties. The Secretary determines precedence among officers with identical appointment dates, and officers serving only in an acting capacity are barred from acting under this order. Succession is temporary and does not vacate the statutory appointment of the successor.",government_administration,,,[],delegates_authority,,stop
12909,94-10242,Order of Succession of Officers To Act as Secretary of the Air Force,William J. Clinton,1994-04-22,1994-04-26,59 FR 21909,3365,,https://www.federalregister.gov/documents/full_text/text/1994/04/26/94-10242.txt,Executive Order 12909 establishes the order of succession for the Secretary of the Air Force and sets the temporary nature of any acting appointment.,government_administration,,,[],adjusts_pay_or_admin,,stop
12910,94-10249,"Providing for the Closing of Government Departments and agencies on April 27, 1994",William J. Clinton,1994-04-23,1994-04-26,59 FR 21915,1539,,https://www.federalregister.gov/documents/full_text/text/1994/04/26/94-10249.txt,"The order directs the closure of all executive departments, independent establishments, and other governmental agencies on a specific date, with limited exceptions.",government_administration,,,[],other,orders closure of departments and agencies,stop
12911,94-13090,Seal for the Office of National Drug Control Policy,William J. Clinton,1994-04-25,1994-04-28,59 FR 22121,1780,,https://www.federalregister.gov/documents/full_text/text/1994/04/28/94-13090.txt,The order approves an official seal for the Office of National Drug Control Policy.,government_administration,,,[],other,approves an official seal for a federal office,stop
12912,94-10794,Amendment to Executive Order No. 12878,William J. Clinton,1994-04-29,1994-05-03,59 FR 22949,869,,https://www.federalregister.gov/documents/full_text/text/1994/05/03/94-10794.txt,The order amends Executive Order 12878 to change the reporting deadline for the Bipartisan Commission on Entitlement Reform from May 1 1994 to December 15 1994.,government_administration,,,[],revokes_or_amends,,stop
12913,94-10932,Revocation of Executive Order No. 12582,William J. Clinton,1994-05-02,1994-05-04,59 FR 23115,989,,https://www.federalregister.gov/documents/full_text/text/1994/05/04/94-10932.txt,"The order revokes Executive Order No. 12582, declaring it void and setting an effective date.",immigration,,,[],revokes_or_amends,,stop
12914,94-11547,Prohibiting Certain Transactions With Respect to Haiti,William J. Clinton,1994-05-07,1994-05-10,59 FR 24339,5386,,https://www.federalregister.gov/documents/full_text/text/1994/05/10/94-11547.txt,"The order blocks funds and financial resources of Haitian military officers, coup participants and their families, and prohibits certain transactions related to Haiti.",foreign_policy,,,[],imposes_sanctions,,stop
12915,94-12275,Federal Implementation of the North American Agreement on Environmental Cooperation,William J. Clinton,1994-05-13,1994-05-18,59 FR 25775,12284,,https://www.federalregister.gov/documents/full_text/text/1994/05/18/94-12275.txt,The order directs the EPA Administrator to create a governmental committee that will advise on implementing the North American Agreement on Environmental Cooperation.,energy_and_environment,,,[],creates_body,,stop
12916,94-12284,Implementation of the Border Environment Cooperation Commission and the North American Development Bank,William J. Clinton,1994-05-13,1994-05-18,59 FR 25779,9189,,https://www.federalregister.gov/documents/full_text/text/1994/05/18/94-12284.txt,"Executive Order 12916 implements the NAFTA‑related Border Environment Cooperation Commission and North American Development Bank, creates a Finance Committee, delegates presidential functions, and designates U.S. representatives on the Commission’s board.",energy_and_environment,,,[],creates_body,,stop
12917,94-12880,Prohibiting Certain Transactions With Respect to Haiti,William J. Clinton,1994-05-21,1994-05-24,59 FR 26925,6968,,https://www.federalregister.gov/documents/full_text/text/1994/05/24/94-12880.txt,"Executive Order 12917 (1994) blocks a wide range of transactions with Haiti, establishing economic sanctions and authorizing the Treasury to enforce them.",foreign_policy,,,[],imposes_sanctions,,stop
12918,94-13391,Prohibiting Certain Transactions With Respect to Rwanda and Delegating Authority With Respect to Other United Nations Arms Embargoes,William J. Clinton,1994-05-26,1994-05-31,59 FR 28205,7037,,https://www.federalregister.gov/documents/full_text/text/1994/05/31/94-13391.txt,The order imposes an arms embargo on Rwanda and delegates enforcement authority to the Secretaries of State and Commerce.,foreign_policy,,,[],imposes_sanctions,,stop
12919,94-14027,National Defense Industrial Resources Preparedness,William J. Clinton,1994-06-03,1994-06-07,59 FR 29525,46554,,https://www.federalregister.gov/documents/full_text/text/1994/06/07/94-14027.txt,Executive Order 12919 (June 3 1994) supersedes or revokes a series of earlier executive orders. The order’s primary topic is national‑defense industrial preparedness and the instrument is revokes_or_amends.,government_administration,,"The order deals with the organization and authority of federal agencies for national‑defense industrial resources, which falls under the administration of government functions.",[],revokes_or_amends,,stop
12920,94-14582,Prohibiting Certain Transactions With Respect to Haiti,William J. Clinton,1994-06-10,1994-06-14,59 FR 30501,6784,,https://www.federalregister.gov/documents/full_text/text/1994/06/14/94-14582.txt,"Executive Order 12920 prohibits a wide range of payments, transfers, and exports to and from Haiti, authorizing the Secretary of the Treasury, in consultation with the Secretary of State, to issue regulations and take necessary actions. The order references the national emergency declared in EO 12775 and adopts definitions from EO 12779. All U.S. agencies are directed to enforce the prohibitions, and the order takes effect on June 10, 1994.",foreign_policy,,,"[""trade"", ""economy_and_finance""]",imposes_sanctions,,stop
12921,94-14728,Amendment to Executive Order No. 12864,William J. Clinton,1994-06-13,1994-06-15,59 FR 30667,789,,https://www.federalregister.gov/documents/full_text/text/1994/06/15/94-14728.txt,Amends Executive Order 12864 to increase the authorized membership of the United States Advisory Council on the National Information Infrastructure from 30 to 37 members.,technology_and_research,,,[],revokes_or_amends,,stop
12922,94-15498,Blocking Property of Certain Haitian Nationals,William J. Clinton,1994-06-21,1994-06-23,59 FR 32645,4846,,https://www.federalregister.gov/documents/full_text/text/1994/06/23/94-15498.txt,"Executive Order 12922 blocks property of certain Haitian nationals and prohibits transactions that evade the block, thereby imposing sanctions.",foreign_policy,,,[],imposes_sanctions,,stop
12923,94-16403,Continuation of Export Control Regulations,William J. Clinton,1994-06-30,1994-07-05,59 FR 34551,5423,,https://www.federalregister.gov/documents/full_text/text/1994/07/05/94-16403.txt,Executive Order 12923 continues the United States export‑control system and incorporates delegations of authority from several earlier executive orders.,trade,,,[],other,continues and amends the existing export‑control regulations,stop
12924,94-20873,Continuation of Export Control Regulations,William J. Clinton,1994-08-19,1994-08-23,59 FR 43437,5678,,https://www.federalregister.gov/documents/full_text/text/1994/08/23/94-20873.txt,"Executive Order 12924 continues the export‑control system, incorporates prior delegations of authority, revokes the earlier EO 12923, and sets an effective date.",technology_and_research,,,[],other,sets effective date,stop
12925,94-21738,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union,William J. Clinton,1994-08-29,1994-08-31,59 FR 45181,2916,,https://www.federalregister.gov/documents/full_text/text/1994/08/31/94-21738.txt,"Executive Order 12925 creates an emergency board to investigate a railroad labor dispute, requires a report within 30 days, and limits parties from changing dispute conditions for 30 days after the report.",labor_and_workforce,,,[],creates_body,,stop
12926,94-22969,Implementation of the National Voter Registration Act of 1993,William J. Clinton,1994-09-12,1994-09-14,59 FR 47227,3571,,https://www.federalregister.gov/documents/full_text/text/1994/09/14/94-22969.txt,"The order directs federal departments, agencies, and the Secretary of Defense to assist states in implementing the National Voter Registration Act by providing guidance, technical assistance, and developing registration procedures at Armed Forces recruitment offices.",education,,"The order’s substantive focus is on voter registration, which falls under the broader category of voting_and_elections; however, that specific label is not listed among the allowed topics, so the closest available topic is used.",[],delegates_authority,,stop
12927,94-23273,Ordering the Selected Reserve of the Armed Forces to Active Duty,William J. Clinton,1994-09-15,1994-09-19,59 FR 47781,1746,,https://www.federalregister.gov/documents/full_text/text/1994/09/19/94-23273.txt,The order delegates authority to the Secretary of Defense and the Secretary of Transportation (for the Coast Guard) to place Selected Reserve personnel on active duty.,government_administration,,"The order concerns the internal management of the Selected Reserve of the Armed Forces, which is a defense‑related personnel matter; the most specific matching topic is defense_and_national_security, but the order’s focus is on the administrative activation of reserve units, so it is classified under government_administration.",[],delegates_authority,,stop
12928,94-23453,"Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions",William J. Clinton,1994-09-16,1994-09-20,59 FR 48377,7272,,https://www.federalregister.gov/documents/full_text/text/1994/09/20/94-23453.txt,"Executive Order 12928 directs federal departments and agencies to promote procurement with socially‑ and economically‑disadvantaged small businesses, historically Black colleges and universities, and minority institutions.",government_administration,,,[],delegates_authority,,stop
12929,94-24589,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves,William J. Clinton,1994-09-29,1994-10-03,59 FR 50473,910,,https://www.federalregister.gov/documents/full_text/text/1994/10/03/94-24589.txt,The order delegates presidential functions concerning the Naval Petroleum and Oil Shale Reserves to the Secretary of Energy.,energy_and_environment,,,[],delegates_authority,,stop
12930,94-24617,Measures To Restrict the Participation by United States Persons in Weapons Proliferation Activities,William J. Clinton,1994-09-29,1994-10-03,59 FR 50475,2833,,https://www.federalregister.gov/documents/full_text/text/1994/10/03/94-24617.txt,"The order revokes Executive Order 12868 and directs the Secretary of Commerce, in consultation with the Secretary of State, to regulate U.S. persons’ participation in weapons‑of‑mass‑destruction proliferation.",security_and_defense,,,[],revokes_or_amends,,stop
12931,94-25837,Federal Procurement Reform,William J. Clinton,1994-10-13,1994-10-17,59 FR 52387,5624,,https://www.federalregister.gov/documents/full_text/text/1994/10/17/94-25837.txt,The order revokes Executive Order 12352 and directs agencies to improve procurement practices.,government_administration,,,[],revokes_or_amends,,stop
12932,94-25940,Termination of Emergency With Respect to Haiti,William J. Clinton,1994-10-14,1994-10-18,59 FR 52403,2469,,https://www.federalregister.gov/documents/full_text/text/1994/10/18/94-25940.txt,The order revokes several earlier executive orders and terminates the national emergency with respect to Haiti.,foreign_policy,,,[],revokes_or_amends,,stop
12933,94-26516,Nondisplacement of Qualified Workers Under Certain Contracts,William J. Clinton,1994-10-20,1994-10-24,59 FR 53559,14487,,https://www.federalregister.gov/documents/full_text/text/1994/10/24/94-26516.txt,"Executive Order 12933 directs that federal building‑service contracts must contain a nondisplacement clause and gives the Secretary of Labor enforcement authority, including a 180‑day deadline to issue implementing regulations.",government_administration,,,[],delegates_authority,,stop
12934,94-26834,Blocking Property and Additional Measures With Respect to the Bosnian Serb-Controlled Areas of the Republic of Bosnia and Herzegovina,William J. Clinton,1994-10-25,1994-10-27,59 FR 54117,7369,,https://www.federalregister.gov/documents/full_text/text/1994/10/27/94-26834.txt,"The order expands the national emergency declared in EO 12808 and blocks property, interests, and export services related to Bosnian Serb‑controlled areas, prohibiting certain transactions and vessel entries.",foreign_policy,,,[],imposes_sanctions,,stop
12935,94-27135,"Amending Executive Order No. 11157 as it Relates to the Definition of""Field Duty''",William J. Clinton,1994-10-28,1994-10-31,59 FR 54511,1453,,https://www.federalregister.gov/documents/full_text/text/1994/10/31/94-27135.txt,Executive Order 12935 amends Executive Order 11157 by striking out portions of the definition of “field duty.”,government_administration,,,[],revokes_or_amends,,stop
12936,94-28430,"Amendments to the Manual for Courts-Martial, United States, 1984",William J. Clinton,1994-11-10,1994-11-15,59 FR 59075,951,,https://www.federalregister.gov/documents/full_text/text/1994/11/15/94-28430.txt,"Executive Order 12936 amends the Manual for Courts‑Martial, United States, 1984.",justice_and_law_enforcement,,,[],other,the order amends a manual rather than an earlier order or emergency,stop
12937,94-28431,Declassification of Selected Records Within the National Archives of the United States,William J. Clinton,1994-11-10,1994-11-15,59 FR 59097,4861,,https://www.federalregister.gov/documents/full_text/text/1994/11/15/94-28431.txt,The order declassifies specific records in the National Archives and directs the Archivist to make them publicly available within a set time.,government_administration,,,[],other,"order declassifies records, which does not fit any predefined instrument category",stop
12938,94-28487,Proliferation of Weapons of Mass Destruction,William J. Clinton,1994-11-14,1994-11-16,59 FR 59099,16003,,https://www.federalregister.gov/documents/full_text/text/1994/11/16/94-28487.txt,"Executive Order 12938 declares a national emergency over WMD proliferation, directs State, Commerce, and Treasury to impose sanctions on foreign persons and countries involved in chemical/biological weapons, revokes prior related orders, and delegates authority to implement the measures.",security_and_defense,,,"[""foreign_policy"", ""trade""]",imposes_sanctions,,stop
12939,94-29541,Expedited Naturalization of Aliens and Noncitizen Nationals Who Served in an Active-Duty Status During the Persian Gulf Conflict,William J. Clinton,1994-11-22,1994-11-29,59 FR 61231,1702,,https://www.federalregister.gov/documents/full_text/text/1994/11/29/94-29541.txt,The order provides an expedited naturalization exception for aliens and non‑citizen nationals who served honorably in active‑duty status during the Persian Gulf Conflict.,immigration,,,[],other,"provides an expedited naturalization exception (does not create a body, impose sanctions, revoke/amend, confer honor, delegate authority, direct a report, or adjust pay)",stop
12940,94-29663,Amendment to Civil Service Rule VI,William J. Clinton,1994-11-28,1994-11-30,59 FR 61519,2029,,https://www.federalregister.gov/documents/full_text/text/1994/11/30/94-29663.txt,Amends Civil Service Rule VI to place certain Department of Agriculture positions in Schedule C for all GS grades.,government_administration,,,[],revokes_or_amends,,stop
12941,94-30035,Seismic Safety of Existing Federally Owned or Leased Buildings,William J. Clinton,1994-12-01,1994-12-05,59 FR 62545,5520,,https://www.federalregister.gov/documents/full_text/text/1994/12/05/94-30035.txt,"Executive Order 12941 adopts minimum seismic‑safety standards for federally owned or leased buildings and assigns agencies responsibilities for inventory, cost‑estimates, reporting and periodic updates.",energy_and_environment,,,[],delegates_authority,,stop
12942,94-30997,"Addition to Level V of the Executive Schedule Commissioner, Administration for Native Americans",William J. Clinton,1994-12-12,1994-12-15,59 FR 64551,919,,https://www.federalregister.gov/documents/full_text/text/1994/12/15/94-30997.txt,"Adds a new Level V position, Commissioner of the Administration for Native Americans, to the Executive Schedule.",government_administration,,,[],adjusts_pay_or_admin,,stop
12943,94-30998,Further Amendment to Executive Order No. 11755,William J. Clinton,1994-12-13,1994-12-15,59 FR 64553,1603,,https://www.federalregister.gov/documents/full_text/text/1994/12/15/94-30998.txt,Executive Order 12943 further amends Executive Order 11755 to change a reference in its preamble and to add a new subsection excluding micropurchases.,government_administration,,,[],revokes_or_amends,,stop
12944,94-32388,Adjustments of Certain Rates of Pay and Allowances,William J. Clinton,1994-12-28,1995-01-03,60 FR 309,7325,https://www.govinfo.gov/content/pkg/FR-1995-01-03/pdf/94-32388.pdf,https://www.federalregister.gov/documents/full_text/text/1995/01/03/94-32388.txt,"Executive Order 12944 adjusts federal pay rates and allowances, designates agencies to prescribe related regulations, sets effective dates, and supersedes two earlier orders.",government_administration,,,[],revokes_or_amends,,stop
12945,95-1877,Amendment to Executive Order No. 12640,William J. Clinton,1995-01-20,1995-01-24,60 FR 4527,1331,https://www.govinfo.gov/content/pkg/FR-1995-01-24/pdf/95-1877.pdf,https://www.federalregister.gov/documents/full_text/text/1995/01/24/95-1877.txt,"Executive Order 12945 amends Executive Order 12640 to increase the number of Vice Chair positions on the President's Committee on Employment of People with Disabilities from four to six. It also updates the terminology throughout the order, replacing “Vice Chairman” and “Vice Chairmen” with “Vice Chair” and “Vice Chairs.” The amendment is made under presidential authority and the Rehabilitation Act of 1973.",civil_rights,,,[],revokes_or_amends,,stop
12946,95-1925,President's Advisory Board on Arms Proliferation Policy,William J. Clinton,1995-01-20,1995-01-24,60 FR 4829,4855,https://www.govinfo.gov/content/pkg/FR-1995-01-24/pdf/95-1925.pdf,https://www.federalregister.gov/documents/full_text/text/1995/01/24/95-1925.txt,"Executive Order 12946 establishes the President’s Advisory Board on Arms Proliferation Policy within the Department of Defense, defines its composition, functions, administration, and termination deadline.",security_and_defense,,,[],creates_body,,stop
12947,X95-110125,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process,William J. Clinton,1995-01-23,1995-01-25,60 FR 5079,7182,https://www.govinfo.gov/content/pkg/FR-1995-01-25/pdf/X95-110125.pdf,https://www.federalregister.gov/documents/full_text/text/1995/01/25/X95-110125.txt,"The order blocks property and prohibits transactions with designated terrorists, thereby imposing sanctions.",security_and_defense,,,[],imposes_sanctions,,stop
12948,95-2687,Amendment to Executive Order No. 12898,William J. Clinton,1995-01-30,1995-02-01,60 FR 6381,1000,https://www.govinfo.gov/content/pkg/FR-1995-02-01/pdf/95-2687.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/01/95-2687.txt,"Amends EO 12898 by replacing the phrase “Within 12 months of the date of this order,” with “By March 24, 1995,” and updating related language.",energy_and_environment,,,[],revokes_or_amends,,stop
12949,95-3671,Foreign Intelligence Physical Searches,William J. Clinton,1995-02-09,1995-02-13,60 FR 8169,2647,https://www.govinfo.gov/content/pkg/FR-1995-02-13/pdf/95-3671.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/13/95-3671.txt,The order authorizes the Attorney General to approve physical searches for foreign intelligence without a court order and designates senior national‑security officials to make required certifications.,foreign_policy,,,[],delegates_authority,,stop
12950,95-4908,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,William J. Clinton,1995-02-22,1995-02-27,60 FR 10475,4506,https://www.govinfo.gov/content/pkg/FR-1995-02-27/pdf/95-4908.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/27/95-4908.txt,Executive Order 12950 creates an emergency board to investigate a labor dispute involving Metro North Commuter Railroad and its employees.,labor_and_workforce,,,[],creates_body,,stop
12951,95-5050,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems,William J. Clinton,1995-02-22,1995-02-28,60 FR 10789,4657,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5050.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5050.txt,The order assigns the Director of Central Intelligence the authority to set up a program for reviewing and declassifying imagery from space‑based national intelligence reconnaissance systems.,technology_and_research,,,[],delegates_authority,,stop
12952,95-5129,Amendment to Executive Order No. 12950,William J. Clinton,1995-02-24,1995-02-28,60 FR 11011,677,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5129.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5129.txt,Executive Order 12952 amends Executive Order 12950 by adding a new labor organization to its attached list.,government_administration,,,[],revokes_or_amends,,stop
12953,95-5146,Actions Required of all Executive Agencies To Facilitate Payment of Child Support,William J. Clinton,1995-02-27,1995-02-28,60 FR 11013,15008,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5146.pdf,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5146.txt,"Executive Order 12953 directs federal agencies to take a series of actions that promote and enforce child‑support obligations. It creates a Defense‑Department‑led task force, requires agencies to review and report on wage‑withholding procedures, publish lists of agents for service of notices, assist with service of legal process, cooperate with the Federal Parent Locator Service, perform annual cross‑matches of delinquent obligors, advise employees of support services, and submit various reports within specified time‑frames.",justice_and_law_enforcement,,,[],other,The order contains many directives that do not fit the listed instrument categories; only the task‑force creation fits ‘creates_body’ and the reporting requirements fit ‘directs_report_or_study’. All other actions are captured as separate claims with their own instruments.,stop
12954,95-6121,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts,William J. Clinton,1995-03-08,1995-03-10,60 FR 13023,10385,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-6121.pdf,https://www.federalregister.gov/documents/full_text/text/1995/03/10/95-6121.txt,Contracting agencies shall not contract with employers that permanently replace lawfully striking employees.,government_administration,,,[],imposes_sanctions,,stop
12955,95-6211,Nuclear Cooperation With EURATOM,William J. Clinton,1995-03-09,1995-03-10,60 FR 13365,1490,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-6211.pdf,https://www.federalregister.gov/documents/full_text/text/1995/03/10/95-6211.txt,The order supersedes EO 12903 and extends the nuclear‑cooperation period to the end of 1995.,energy_and_environment,,,[],revokes_or_amends,,stop
