eo_number,document_number,authority,source_quote,quote_trimmed
12938,94-28487,imposes_sanctions,sanctions also shall be imposed on a foreign country,1
12938,94-28487,revokes_or_amends,"Executive Order No. 12735 of November 16, 1990, and Executive Order No. 12930 of September 29, 1994, are hereby revoked.",0
12938,94-28487,delegates_authority,"The Secretary of State, the Secretary of the Treasury, and the Secretary of Commerce are hereby authorized and directed to take such actions, including the promulgation of rules and regulations, as may be necessary to carry out the purposes of this order.",0
12938,94-28487,other,"find that the proliferation of nuclear, biological, and chemical weapons ... constitutes an unusual and extraordinary threat ... and hereby declare a national emergency to deal with that threat.",0
12939,94-29541,"section 1440(b) of title 8, United States Code","eligible for naturalization in accordance with the statutory exception to the naturalization requirements, as provided in section 1440(b) of title 8, United States Code.",0
12940,94-29663,5 U.S.C. § 3301‑3302,"including sections 3301 and 3302 of title 5, United States Code",0
12941,94-30035,Earthquake Hazards Reduction Act of 1977,"in furtherance of the Earthquake Hazards Reduction Act of 1977, as amended by Public Law 101‑614",0
12941,94-30035,Interagency Committee on Seismic Safety in Construction (ICSSC) – standards,"The Standards of Seismic Safety for Existing Federally Owned or Leased Buildings (Standards), developed, issued, and maintained by the Interagency Committee on Seismic Safety in Construction (ICSSC), are hereby adopted",0
12944,94-32388,Statutory pay systems,The rates of basic pay or salaries of the statutory pay systems (as defined in 5 U.S.C. 5302(1)) are set forth on the schedules attached hereto,0
12944,94-32388,Senior Executive Service,the rates of basic pay for senior executives in the Senior Executive Service are set forth on Schedule 4 attached hereto,0
12944,94-32388,"Executive Schedule, Vice President, Congress, Justices and judges",The rates of pay or salaries for the following offices and positions are set forth on the schedules attached hereto,0
12944,94-32388,Uniformed services,the rates of monthly basic pay … for members of the uniformed services … are set forth on Schedule 8 attached hereto,0
12944,94-32388,Interim geographic adjustments,employees … shall be entitled … to receive an interim geographic adjustment at the rate shown on Schedule 9,0
12945,95-1877,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
12945,95-1877,Rehabilitation Act of 1973 (29 U.S.C. 791(a)-(f)),"the provisions of the Rehabilitation Act of 1973, Public Law 93-112, section 501(a)-(f), as amended (29 U.S.C. 791(a)-(f))",0
12946,95-1925,"section 1601 of the National Defense Authorization Act, Fiscal Year 1994 (Public Law 103‑160)","including section 1601 of the National Defense Authorization Act, Fiscal Year 1994 (Public Law 103‑160)",0
12946,95-1925,"Federal Advisory Committee Act, as amended (5 U.S.C. App. 2)","and the Federal Advisory Committee Act, as amended (5 U.S.C. App. 2) (“Act”)",0
12947,X95-110125,"International Emergency Economic Powers Act, National Emergencies Act, 3 U.S.C. §301","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
12949,95-3671,delegates_authority,"the following officials, each of whom is employed in the area of national security or defense, is designated to make the certifications required by section 303(a)(7) of the Act",0
12950,95-4908,Railway Labor Act (section 9A),Disputes exist between Metro North Commuter Railroad and certain of its employees represented by certain labor organizations.,0
12951,95-5050,Director of Central Intelligence,the Director of Central Intelligence shall report annually to the President on the implementation of this order,0
12952,95-5129,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
12953,95-5146,Presidential authority under the Constitution and 3 U.S.C. § 301,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including section 301 of title 3, United States Code",0
12957,95-6849,International Emergency Economic Powers Act; National Emergencies Act; 3 U.S.C. §301,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
12958,95-9941,Constitution and the laws of the United States of America,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
12958,95-9941,Atomic Energy Act of 1954,"Atomic Energy Act of 1954, as amended",0
12958,95-9941,10 U.S.C. 119,Nothing in this order shall supersede any requirement made by or under 10 U.S.C. 119,0
12959,95-11694,President of the United States,"the following are prohibited, except to the extent provided in regulations, orders, directives, or licenses that may be issued pursuant to this order",0
12960,95-12285,"Manual for Courts‑Martial, United States, 1984","prescribe amendments to the Manual for Courts-Martial, United States, 1984",0
12960,95-12285,Executive Order No. 12473 (and its amendment EO 12484),"prescribed by Executive Order No. 12473, as amended by Executive Order No. 12484",0
12963,95-14983,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, I hereby direct the Secretary of Health and Human Services to exercise her discretion as follows:",0
12964,95-15760,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.) (the ``Act''),",0
12966,95-17828,10 U.S.C. 404(a),the Secretary of Defense is hereby directed to provide disaster assistance outside the United States,0
12966,95-17828,10 U.S.C. 404 (as amended by FY‑1995 NDAA §1412(a)),"This order governs the implementation of section 404 of title 10, United States Code, as added by amendment set forth in section 1412(a) of the Act",0
12967,95-19174,Section 9A(e) of the Railway Labor Act,"Section 9A(e) of the Act provides that the President, upon such request, shall appoint a second emergency board to investigate and report on the disputes.",0
12968,95-19654,EO 12958,"pursuant to Executive Order No. 12958, or any successor order, Executive Order No. 12951",0
12968,95-19654,EO 10450,requirements of Executive Order No. 10450,0
12968,95-19654,EO 10865,procedures provided to individuals covered by Executive Order No. 10865,0
12969,95-19972,EPCRA and PPA statutes,The Emergency Planning and Community Right-to-Know Act of 1986 (42 U.S.C. 11001-11050) (``EPCRA'') and the Pollution Prevention Act of 1990 (42 U.S.C. 13101-13109) (``PPA'') established programs to protect public health and the environment,0
12971,95-23423,President,"Executive Order No. 12425 be amended by deleting, in the first sentence, the words ``the portions of Section 2(d) and''",0
12974,95-24754,Constitution and Federal Advisory Committee Act,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and in accordance with the provisions of the Federal Advisory Committee Act, as amended (5 U.S.C. App.), it is hereby ordered as follows:",0
12975,95-24921,President (by authority vested in the Constitution and the laws of the United States),There is hereby established a National Bioethics Advisory Commission (“NBAC”).,0
12978,95-26569,"Constitution, IEEPA, National Emergencies Act, 31 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
12981,95-30106,International Emergency Economic Powers Act,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including but not limited to the International Emergency Economic Powers Act (50 U.S.C. 1701 et. seq.)",0
12982,95-30451,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 121 and 12304 of title 10, United States Code",0
12983,95-31437,Constitution and laws of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
12984,95-31595,"Executive Order No. 12944 of December 28, 1994","Executive Order No. 12944 of December 28, 1994, is superseded.",0
12986,96-955,President of the United States,By virtue of the authority vested in me as President by the Constitution and the laws of the United States,0
12987,96-2407,Executive Order 12964,inserting in the second sentence ``up to 20'' in place of ``15'',0
12987,96-2407,Executive Order 12964,"inserting in the first sentence ``about December 31, 1996,'' in place of ``before February 1, 1996,''",0
12988,96-2755,Effective date,This order shall become effective 90 days after the date of signature.,0
12989,96-3646,40 U.S.C. 486(a) and 3 U.S.C. 301,including 40 U.S.C. 486(a) and 3 U.S.C. 301,0
12989,96-3646,"Immigration and Nationality Act §§274A(a)(1)(A) & (a)(2) (8 U.S.C. 1324a(a)(1)(A), 1324a(a)(2))","section 274A(a)(1)(A) and 274A(a)(2) of the Immigration and Nationality Act (8 U.S.C. 1324a(a)(1)(A), 1324a(a)(2))",0
12989,96-3646,8 U.S.C. 1324a(e),8 U.S.C. 1324a(e),0
12989,96-3646,INA §1324(b) (8 U.S.C. 1324b),section 1324(b) of the INA (8 U.S.C. 1324b),0
12989,96-3646,8 U.S.C. 1324b(a)(6),8 U.S.C. 1324b(a)(6),0
12989,96-3646,Federal Acquisition Regulation (FAR),the Federal Acquisition Regulation,0
12989,96-3646,Administrative Procedure Act (5 U.S.C. §701 et seq.),"Administrative Procedure Act, 5 U.S.C. 701 et seq.",0
12993,96-7460,Executive Order No. 12805,The Chairperson of the President's Council on Integrity and Efficiency,1
12994,96-7461,"Constitution and the laws of the United States of America, including the Federal Advisory Committee Act","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act",0
12994,96-7461,5 U.S.C. 3109,as authorized by law (5 U.S.C. 3109),0
12994,96-7461,5 U.S.C. 5701-5707,as authorized by law (5 U.S.C. 5701-5707),0
12997,96-8520,International Organizations Immunities Act,"designate the Korean Peninsula Energy Development Organization as a public international organization entitled to enjoy the privileges, exemptions, and immunities",0
12999,96-9866,delegates_authority,all agencies shall give highest preference to schools and nonprofit organizations,0
13001,96-11966,"Presidential authority under the Constitution and the Railway Labor Act, section 10 (45 U.S.C. 160)","Section 1. Establishment of Emergency Board (""Board"").",0
13002,96-12535,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 112(c)(3) of the Internal Revenue Code of 1986 (26 U.S.C. 112(c)(3))",0
13003,96-12720,"Presidential authority under the Railway Labor Act, 45 U.S.C. § 160","by the authority vested in me as President by the Constitution and the laws of the United States, including section 10 of the Act (45 U.S.C. 160)",0
13005,96-13306,Section 486(a) of Title 40 U.S.C. and Section 301 of Title 3 U.S.C.,"including section 486(a) of title 40, United States Code, and section 301 of title 3, United States Code",0
13006,96-13305,National Historic Preservation Act,including the National Historic Preservation Act (16 U.S.C. 470 et seq.) and the Public Buildings Cooperative Use Act of 1976 (90 Stat. 2505),0
13006,96-13305,Public Buildings Cooperative Use Act of 1976,including the National Historic Preservation Act (16 U.S.C. 470 et seq.) and the Public Buildings Cooperative Use Act of 1976 (90 Stat. 2505),0
13012,96-18846,"Railway Labor Act, Section 9A(c)","Section 9A(c) of the Act provides that the President, upon such request, shall appoint an emergency board to investigate and report on the dispute.",0
13013,96-20531,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States, including my authority as Commander in Chief of the Armed Forces of the United States, it is hereby ordered that Executive Order No. 10163, as amended, is further amended by striking out sections 3 and 4 and inserting in lieu thereof the following new sections 3 and 4:",0
13014,96-13014,Taiwan Relations Act,"by the authority vested in me as President of the United States of America by the Taiwan Relations Act (Public Law 96-8, 22 U.S.C. 3301 et seq.)",0
13017,96-23187,"President (by authority vested in the Constitution and the laws of the United States, including the Federal Advisory Committee Act)",There is established the Advisory Commission on Consumer Protection and Quality in the Health Care Industry (the ``Commission'').,0
13019,96-25577,Debt Collection Improvement Act of 1996,in accordance with the provisions of the Debt Collection Improvement Act of 1996,0
13019,96-25577,Attorney General (in consultation with HHS),"The Attorney General, in consultation with the Secretary of Health and Human Services and other affected agencies, shall promptly issue guidelines for departments and agencies concerning minimum due‑process standards",0
13020,96-26837,President,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including but not limited to the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)",0
13021,96-27352,Federal Advisory Committee Act (5 U.S.C. App.),"The responsibilities of the President under the Federal Advisory Committee Act, as amended (5 U.S.C. App.), with respect to the Board, shall be performed by the Secretary of Education (""Secretary""), in accordance with the guidelines and procedures established by the Administrator of General Services.",0
13024,96-29109,Amends EO 12015,"Section 1. Executive Order 12015 of October 26, 1977, is amended as follows:",0
13026,96-29692,International Emergency Economic Powers Act,the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),0
13026,96-29692,Export Administration Act of 1979,"the Export Administration Act of 1979 (``the EAA''), 50 U.S.C. App. 2403(c) and 2405(h)(2)-(4)",0
13026,96-29692,Arms Export Control Act,"the Arms Export Control Act, 22 U.S.C. 2778 et seq.",0
13027,96-29815,Section 9A(e) of the Railway Labor Act,"Section 9A(e) of the Act provides that the President, upon such request, shall appoint a second emergency board to investigate and report on the dispute.",0
13029,96-31165,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 422 of the Foreign Relations Authorization Act, Fiscal Years 1994 and 1995 (Public Law 103-236)",0
13031,96-32195,"Presidential authority under the Constitution, Energy Policy and Conservation Act, Energy Policy Act of 1992, and 3 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Energy Policy and Conservation Act, as amended (42 U.S.C. 6201 et seq.), the Energy Policy Act of 1992 (Public Law 102-486) (""the Act""), and section 301 of title 3, United States Code",0
13033,96-33384,5 U.S.C. 5303(a),"The rates of basic pay or salaries of the statutory pay systems (as defined in 5 U.S.C. 5302(1)), as adjusted under 5 U.S.C. 5303(a), are set forth on the schedules attached hereto",0
13034,97-2818,Presidential Advisory Committee on Gulf War Veterans' Illnesses,Presidential Advisory Committee on Gulf War Veterans' Illnesses,0
13035,97-3992,"Presidential authority under the Constitution, statutes, and the High‑Performance Computing Act of 1991","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the High‑Performance Computing Act of 1991 (Public Law 102‑194) (“Act”), and in order to establish an advisory committee … it is hereby ordered as follows:",0
13036,97-4302,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States, including sections 10 and 201 of the Act, 45 U.S.C. 160 and 181",0
13037,97-5728,President,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.)",0
13038,97-6571,"President (under the Constitution, statutes, and the Federal Advisory Committee Act)","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.) (the “Act”),",0
13039,97-6703,section 7103(b)(1) of title 5 of the United States Code,"Executive Order 12171 of November 19, 1979, as amended, is further amended by adding the following at the end of section 1-205:",0
13040,97-8123,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13041,97-9200,Constitution and U.S. law,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13042,97-9700,Secretary of State,shall be determined within the sole discretion of the Secretary of State or the Secretary's designee,0
13043,97-10331,revokes Executive Order 12566,"Executive Order 12566 of September 26, 1986, is revoked.",0
13045,97-10695,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13047,97-13704,prohibits new investment in Burma by United States persons,I hereby prohibit new investment in Burma by United States persons.,0
13050,97-16080,President,There is established the President's Advisory Board on Race.,0
13054,97-18288,Constitution and U.S. statutes (5 U.S.C. §§ 3301‑3302; 3 U.S.C. § 301),"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 3301 and 3302 of title 5 and section 301 of title 3 of the United States Code",0
13055,97-19341,Presidential authority under the Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and in order to improve the coordination of United States Government International Exchanges and Training Programs, it is hereby ordered as follows:",0
13059,97-22482,IEEPA and ISDCA,the importation into the United States of any goods or services of Iranian origin,0
13060,97-22703,Constitution and the laws of the United States; including section 10 of the Railway Labor Act (45 U.S.C. 160),by the authority vested in me as President by the Constitution and the laws of the United States; including section 10 of the Act (45 U.S.C. 160),0
13066,97-29126,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13067,97-29464,IEEPA,the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13067,97-29464,National Emergencies Act,the National Emergencies Act (50 U.S.C. 1601 et seq.),0
13069,97-33034,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 5 of the United Nations Participation Act of 1945, as amended (22 U.S.C. 287c)(UNPA), and section 301 of title 3, United States Code",0
13075,98-4816,President,The President shall designate a Chairperson and a Vice Chairperson from among the members of the Special Oversight Board,0
13075,98-4816,President (via Secretary of Defense),The Special Oversight Board shall report to the President through the Secretary of Defense,0
13076,98-5119,"10 U.S.C. §§ 121, 12304","including sections 121 and 12304 of title 10, United States Code",0
13078,98-7139,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13082,98-12963,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13084,98-13553,Executive Order 12866,This order shall supplement but not supersede the requirements contained in Executive Order 12866,0
13084,98-13553,Executive Order 12988,Executive Order 12988 (``Civil Justice Reform''),0
13084,98-13553,"Executive Memorandum of April 29, 1994","Executive Memorandum of April 29, 1994, on Government-to-Government Relations with Native American Tribal Governments.",0
13084,98-13553,Executive Order 13083 (Federalism),"This order shall complement the consultation and waiver provisions in sections 4 and 5 of the Executive order, entitled ``Federalism,'' being issued on this day.",0
13084,98-13553,Executive Order 13083 (Federalism),"the Executive order, entitled ``Federalism,'' being issued on this day.",0
13086,98-14688,Commander of a prisoner,the commander shall decide whether pretrial confinement will continue.,1
13086,98-14688,Commander of a prisoner,"within 24 hours after that commitment, cause a report to be made to the commander that shall contain the name of the prisoner",0
13086,98-14688,Neutral and detached officer,Review of the adequacy of probable cause to continue pretrial confinement shall be made by a neutral and detached officer within 48 hours of imposition of confinement,0
13086,98-14688,7‑day reviewing officer (neutral and detached),"Within 7 days of the imposition of confinement, a neutral and detached officer … shall review the probable cause determination and necessity for continued pretrial confinement",0
13086,98-14688,7‑day reviewing officer,"The 7‑day reviewing officer may, for good cause, extend the time limit for completion of the review to 10 days after the imposition of pretrial confinement",0
13086,98-14688,Military judge (post‑trial hearing),The military judge shall conduct a hearing not later than forty days following the finding that an accused is not guilty only by reason of a lack of mental responsibility,0
13086,98-14688,Any party offering evidence under M.R.E. 412,file a written motion at least 5 days prior to entry of pleas specifically describing the evidence and stating the purpose for which it is offered,0
13086,98-14688,Government offering evidence under M.R.E. 413 and 414,"the Government shall disclose the evidence to the accused … at least 5 days before the scheduled date of trial, or at such later time as the military judge may allow for good cause",0
13087,98-14689,Constitution and U.S. statutes,By the authority vested in me as President by the Constitution and the laws of the United States,0
13088,98-15888,"Constitution, IEEPA, National Emergencies Act, 31 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (IEEPA) (50 U.S.C. 1701 et seq.), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
13089,98-16161,"Secretary of the Interior and the Secretary of Commerce, through the Administrator of the National Oceanic and Atmospheric Administration","The Secretary of the Interior and the Secretary of Commerce, through the Administrator of the National Oceanic and Atmospheric Administration, shall co‑chair a U.S. Coral Reef Task Force (“Task Force”)",0
13090,98-17828,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.), and in order to celebrate the role of women in American history, it is hereby ordered as follows:",0
13091,98-17829,amends EO 11958,"Section 1 of Executive Order 11958, as amended, is further amended",0
13091,98-17829,amends EO 12163 (section 1‑201),"Section 1-201 of Executive Order 12163, as amended, is further amended",0
13091,98-17829,amends EO 12163 (section 1‑301),"Section 1-301 of Executive Order 12163, as amended, is further amended",0
13091,98-17829,amends EO 12163 (section 1‑501),"Section 1-501 of Executive Order 12163, as amended, is further amended",0
13094,98-20590,Executive Order 12938,Section 1. Amendment of Executive Order 12938.,0
13094,98-20590,Executive Order 12730,"Executive Order 12730 of September 30, 1990",0
13094,98-20590,Executive Order 12735,"Executive Order 12735 of November 16, 1990",0
13094,98-20590,Executive Order 12924,"Executive Order 12924 of August 18, 1994",0
13094,98-20590,Executive Order 12930,"Executive Order 12930 of September 29, 1994",0
13096,98-21643,President,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13097,98-21710,International Organizations Immunities Act (22 U.S.C. 288),"designate the Interparliamentary Union as a public international organization entitled to enjoy the privileges, exemptions, and immunities conferred by the International Organizations Immunities Act",0
