eo_number,document_number,relation,target_eo_number,target_type,target_label,in_part,source,source_quote,quote_trimmed
12898,94-3685,amends,12250,executive_order,EO 12250,0,fr_disposition_notes,"Amends: EO 12250, November 2, 1980",0
12898,94-3685,references,12250,executive_order,Executive Order 12250,0,model,This Executive order is intended to supplement but not supersede Executive Order No. 12250,0
12898,94-3685,references,12856,executive_order,Executive Order 12856,0,model,"reporting requirements under the Emergency Planning and Community Right-to-Know Act, 42 U.S.C. section 11001-11050 as mandated in Executive Order No. 12856",0
12898,94-3685,references,12875,executive_order,Executive Order 12875,0,model,This Executive order is not intended to limit the effect or mandate of Executive Order No. 12875,0
12898,94-3685,revoked_by,14173,executive_order,EO 14173,0,fr_disposition_notes,"Revoked by: EO 14173, January 21, 2025",0
12899,94-3853,references,12874,executive_order,Executive Order 12874,0,model,"A first emergency board to investigate the dispute was established by Executive Order No. 12874 on October 20, 1993.",0
12900,94-4472,amended_by,12974,executive_order,EO 12974,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001",0
12900,94-4472,amended_by,13062,executive_order,EO 13062,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001",0
12900,94-4472,amended_by,13138,executive_order,EO 13138,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001",0
12900,94-4472,amended_by,13225,executive_order,EO 13225,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001",0
12900,94-4472,revoked_by,13230,executive_order,EO 13230,0,fr_disposition_notes,"Revoked by: EO 13230, October 12, 2001",0
12900,94-4472,revokes,12729,executive_order,EO 12729,0,fr_disposition_notes,"Revokes: EO 12729, September 24, 1990",0
12901,94-5434,amended_by,12973,executive_order,EO 12973,0,fr_disposition_notes,"Amended by: EO 12973, September 27, 1995",0
12902,94-5834,references,12873,executive_order,Executive Order 12873,0,model,the Federal Environmental Executive and Agency Environmental Executives established under Executive Order No. 12873,0
12902,94-5834,references,13101,executive_order,EO 13101,0,fr_disposition_notes,"See: EO 13101, September 14, 1998",0
12902,94-5834,revoked_by,13123,executive_order,EO 13123,0,fr_disposition_notes,"Revoked by: EO 13123, June 3, 1999",0
12902,94-5834,revokes,12759,executive_order,EO 12759,0,fr_disposition_notes,"Revokes: EO 12759, April 17, 1991",0
12903,94-5915,superseded_by,12955,executive_order,EO 12955,0,fr_disposition_notes,"Superseded by: EO 12955, March 9, 1995",0
12903,94-5915,supersedes,12840,executive_order,Executive Order 12840,0,model,Executive Order No. 12840 shall be superseded on the effective date of this Executive order,0
12903,94-5915,supersedes,12840,executive_order,EO 12840,0,fr_disposition_notes,"Supersedes: EO 12840, March 9, 1993",0
12904,94-6696,references,,,International Organizations Immunities Act,0,model,"designate the Commission for Environmental Cooperation, the Commission for Labor Cooperation, the Border Environment Cooperation Commission, and the North American Development Bank as public international organizations",0
12904,94-6696,references,,,North American Free Trade Agreement Implementation Act,0,model,"designate the Commission for Environmental Cooperation, the Commission for Labor Cooperation, the Border Environment Cooperation Commission, and the North American Development Bank as public international organizations",0
12905,94-7635,amended_by,12974,executive_order,EO 12974,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,amended_by,13062,executive_order,EO 13062,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,amended_by,13138,executive_order,EO 13138,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,amended_by,13225,executive_order,EO 13225,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,amended_by,13316,executive_order,EO 13316,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,amended_by,13385,executive_order,EO 13385,0,fr_disposition_notes,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;",0
12905,94-7635,continued_by,13446,executive_order,EO 13446,0,fr_disposition_notes,"Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 14354, September 29, 2025",0
12905,94-7635,continued_by,13511,executive_order,EO 13511,0,fr_disposition_notes,"Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 14354, September 29, 2025",0
12905,94-7635,continued_by,13652,executive_order,EO 13652,0,fr_disposition_notes,"Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 14354, September 29, 2025",0
12905,94-7635,continued_by,14354,executive_order,EO 14354,0,fr_disposition_notes,"Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 14354, September 29, 2025",0
12905,94-7635,references,13585,executive_order,EO 13585,0,fr_disposition_notes,"See: EO 13585, September 30, 2011",0
12906,94-9117,amended_by,13286,executive_order,EO 13286,0,fr_disposition_notes,"Amended by: EO 13286, February 28, 2003",0
12906,94-9117,references,,,National Performance Review,0,model,"The National Performance Review has recommended that the executive branch develop, in cooperation with State, local, and tribal governments, and the private sector, a coordinated National Spatial Data Infrastructure",0
12906,94-9117,references,,,OMB Circular No. A-16,0,model,"established by the Office of Management and Budget (“OMB”) Circular No. A-16 (“Coordination of Surveying, Mapping, and Related Spatial Data Activities”)",0
12906,94-9117,references,,,OMB Circular No. A-119,0,model,consistent with OMB Circular No. A-119 (“Federal Participation in the Development and Use of Voluntary Standards”),0
12906,94-9117,references,,,OMB Circular No. A-130,0,model,including OMB Circular No. A-130 (“Management of Federal Information Resources”),0
12907,94-9419,amends,12882,executive_order,Executive Order 12882,0,model,"the number ``16'' in the second sentence of section 1 of Executive Order No. 12882 is deleted and the number ``19'' is inserted in lieu thereof, and that the number ``15'' ... is deleted and the number ``18'' is inserted in lieu thereof",0
12907,94-9419,amends,12882,executive_order,Executive Order 12882,0,model,to add three members to the President's Committee of Advisors on Science and Technology,0
12907,94-9419,amends,12882,executive_order,EO 12882,0,fr_disposition_notes,"Amends: EO 12882, November 23, 1993",0
12907,94-9419,revoked_by,13226,executive_order,EO 13226,0,fr_disposition_notes,"Revoked by: EO 13226, September 30, 2001",0
12909,94-10242,continues,,,constitutional_and_statutory authority,0,model,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 3347 of title 5, United States Code, it is hereby ordered as follows:",0
12909,94-10242,continues,,,succession provision,0,model,Section 1. Succession To Act as the Secretary of the Air Force.,0
12910,94-10249,references,,,5 U.S.C. 6103(b),0,model,That day shall be considered as falling within the scope of 5 U.S.C. 6103(b),0
12912,94-10794,amends,12878,executive_order,EO 12878,0,fr_disposition_notes,"Amends: EO 12878, November 5, 1993
See EO 12974, September 29, 1995",0
12912,94-10794,amends,12974,executive_order,EO 12974,0,fr_disposition_notes,"Amends: EO 12878, November 5, 1993
See EO 12974, September 29, 1995",0
12913,94-10932,revokes,12582,executive_order,Executive Order No. 12582,0,model,"Section 1. Executive Order No. 12582 is revoked and shall be treated as void, effective February 2, 1987.",0
12913,94-10932,revokes,12582,executive_order,EO 12582,0,fr_disposition_notes,"Revokes: EO 12582, February 2, 1987",0
12914,94-11547,references,12775,executive_order,Executive Order 12775,0,model,in order to take additional steps with respect to the actions and policies of the de facto regime in Haiti and the national emergency described and declared in Executive Order No. 12775,0
12914,94-11547,references,12779,executive_order,Executive Order 12779,0,model,The definitions contained in section 3 of Executive Order No. 12779 apply to the terms used in this order.,0
12914,94-11547,references,,,UN Security Council Resolution 917,0,model,"in view of United Nations Security Council Resolution 917 of May 6, 1994",0
12914,94-11547,references,12922,executive_order,EO 12922,0,fr_disposition_notes,"See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994",0
12914,94-11547,references,,notice,"Notice of September 30, 1994",0,fr_disposition_notes,"See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994",0
12914,94-11547,revoked_by,12932,executive_order,EO 12932,0,fr_disposition_notes,"Revoked by: EO 12932, October 14, 1994",0
12915,94-12275,continued_by,13708,executive_order,EO 13708,0,fr_disposition_notes,"Continued by: EO 13708, September 30, 2015",0
12916,94-12284,amended_by,13380,executive_order,EO 13380,0,fr_disposition_notes,"Amended by: EO 13380, June 17, 2005",0
12916,94-12284,continued_by,13708,executive_order,EO 13708,0,fr_disposition_notes,"Continued by: EO 13708, September 30, 2015",0
12917,94-12880,references,12779,executive_order,Section 3 of EO 12779,0,model,"For the purposes of this order, the definitions contained in section 3 of Executive Order No. 12779 apply to the terms used in this order.",0
12917,94-12880,references,12920,executive_order,EO 12920,0,model,The Secretary of the Treasury may redelegate any of these functions to other officers and agencies of the United States Government.,0
12917,94-12880,references,12920,executive_order,EO 12920,0,fr_disposition_notes,"See: EO 12920, June 10, 1994; 59 FR 51066",0
12917,94-12880,revoked_by,12932,executive_order,EO 12932,0,fr_disposition_notes,"Revoked by: EO 12932, October 14, 1994",0
12917,94-12880,revokes,12779,executive_order,Section 2(c) of EO 12779,0,model,Section 2(c) of Executive Order No. 12779 and section 4 of Executive Order No. 12853 are hereby revoked to the extent inconsistent with this order.,0
12917,94-12880,revokes,12853,executive_order,Section 4 of EO 12853,0,model,Section 2(c) of Executive Order No. 12779 and section 4 of Executive Order No. 12853 are hereby revoked to the extent inconsistent with this order.,0
12917,94-12880,revokes,12779,executive_order,EO 12779,1,fr_disposition_notes,"Revokes in part: EO 12779, October 28, 1991; EO 12853, June 30, 1993",0
12917,94-12880,revokes,12853,executive_order,EO 12853,1,fr_disposition_notes,"Revokes in part: EO 12779, October 28, 1991; EO 12853, June 30, 1993",0
12918,94-13391,references,,,UN Security Council Resolution 918,0,model,"in view of United Nations Security Council Resolution 918 of May 17, 1994",0
12919,94-14027,amended_by,13286,executive_order,EO 13286,0,fr_disposition_notes,"Amended by: EO 13286, February 28, 2003",0
12919,94-14027,amends,10789,executive_order,EO 10789,0,fr_disposition_notes,"Amends: EO 10789, November 14, 1958; EO 11790, June 25, 1974",0
12919,94-14027,amends,11790,executive_order,EO 11790,0,fr_disposition_notes,"Amends: EO 10789, November 14, 1958; EO 11790, June 25, 1974",0
12919,94-14027,revoked_by,13456,executive_order,EO 13456,1,fr_disposition_notes,"Revoked in part by: EO 13456, January 23, 2008",0
12919,94-14027,revokes,8248,executive_order,Executive Order No. 8248 of September 8 1939,0,model,"Section 3, Executive Order No. 8248 of September 8, 1939",0
12919,94-14027,revokes,10222,executive_order,Executive Order No. 10222 of March 8 1951,0,model,"Executive Order No. 10222 of March 8, 1951",0
12919,94-14027,revokes,10480,executive_order,Executive Order No. 10480 of August 14 1953,0,model,"Executive Order No. 10480 of August 14, 1953",0
12919,94-14027,revokes,10647,executive_order,Executive Order No. 10647 of November 28 1955,0,model,"Executive Order No. 10647 of November 28, 1955",0
12919,94-14027,revokes,11179,executive_order,Executive Order No. 11179 of September 22 1964,0,model,"Executive Order No. 11179 of September 22, 1964",0
12919,94-14027,revokes,11355,executive_order,Executive Order No. 11355 of May 26 1967,0,model,"Executive Order No. 11355 of May 26, 1967",0
12919,94-14027,revokes,11912,executive_order,Executive Order No. 11912 of April 13 1976 (sections 7 and 8),0,model,"Sections 7 and 8, Executive Order No. 11912 of April 13, 1976",0
12919,94-14027,revokes,12148,executive_order,Executive Order No. 12148 of July 20 1979 (section 3),0,model,"Section 3, Executive Order No. 12148 of July 20, 1979",0
12919,94-14027,revokes,12521,executive_order,Executive Order No. 12521 of June 24 1985,0,model,"Executive Order No. 12521 of June 24, 1985",0
12919,94-14027,revokes,12649,executive_order,Executive Order No. 12649 of August 11 1988,0,model,"Executive Order No. 12649 of August 11, 1988",0
12919,94-14027,revokes,12773,executive_order,Executive Order No. 12773 of September 26 1991 (except part amending EO 10480‑604),0,model,"Executive Order No. 12773 of September 26,",1
12920,94-14582,references,12775,executive_order,Executive Order 12775,0,model,the national emergency described and declared in Executive Order No. 12775,0
12920,94-14582,references,12779,executive_order,Executive Order 12779,0,model,the definitions contained in section 3 of Executive Order No. 12779 apply,0
12920,94-14582,revoked_by,12932,executive_order,EO 12932,0,fr_disposition_notes,"Revoked by: EO 12932, October 14, 1994",0
12921,94-14728,amends,12864,executive_order,EO 12864,0,fr_disposition_notes,"Amends: 12864, September 15, 1993",0
12921,94-14728,revoked_by,13062,executive_order,EO 13062,0,fr_disposition_notes,"Revoked by: EO 13062, September 29, 1997",0
12922,94-15498,continues,,,existing licensing authorizations,0,model,"All agencies of the United States Government are hereby directed to take all appropriate measures within their authority to carry out the provisions of this order, including suspension or termination of licenses or other authorizations in effect as of the effective date of this order.",0
12922,94-15498,references,12775,executive_order,Executive Order 12775,0,model,the national emergency described and declared in Executive Order No. 12775,0
12922,94-15498,references,12779,executive_order,Executive Order 12779,0,model,"any other person subject to the blocking provisions of Executive Order Nos. 12775, 12779, 12853, 12872, or 12914",0
12922,94-15498,references,12853,executive_order,Executive Order 12853,0,model,"any other person subject to the blocking provisions of Executive Order Nos. 12775, 12779, 12853, 12872, or 12914",0
12922,94-15498,references,12872,executive_order,Executive Order 12872,0,model,"any other person subject to the blocking provisions of Executive Order Nos. 12775, 12779, 12853, 12872, or 12914",0
12922,94-15498,references,12914,executive_order,Executive Order 12914,0,model,"any other person subject to the blocking provisions of Executive Order Nos. 12775, 12779, 12853, 12872, or 12914",0
12922,94-15498,references,12920,executive_order,Executive Order 12920,0,model,"Payments and transfers previously authorized by Executive Order No. 12920 of June 10, 1994, may continue",0
12922,94-15498,revoked_by,12932,executive_order,EO 12932,0,fr_disposition_notes,"Revoked by: EO 12932, October 14, 1994;;
 ;",0
12923,94-16403,references,12002,executive_order,EO 12002,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12755,executive_order,EO 12755,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12214,executive_order,EO 12214,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12735,executive_order,EO 12735,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12851,executive_order,EO 12851,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12002,executive_order,EO 12002,0,model,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order",0
12923,94-16403,references,12002,executive_order,EO 12002,0,fr_disposition_notes,"See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",0
12923,94-16403,references,12214,executive_order,EO 12214,0,fr_disposition_notes,"See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",0
12923,94-16403,references,12735,executive_order,EO 12735,0,fr_disposition_notes,"See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",0
12923,94-16403,references,12755,executive_order,EO 12755,0,fr_disposition_notes,"See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",0
12923,94-16403,references,12851,executive_order,EO 12851,0,fr_disposition_notes,"See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",0
12923,94-16403,revoked_by,12924,executive_order,EO 12924,0,fr_disposition_notes,"Revoked by: EO 12924, August 19, 1994",0
12924,94-20873,revokes,12923,executive_order,Executive Order 12923,0,model,"Executive Order No. 12923 of June 30, 1994, is revoked, and that declaration of emergency is rescinded",0
12926,94-22969,references,,,National Voter Registration Act of 1993,0,model,as required by section 7(b) of the National Voter Registration Act of 1993 (42 U.S.C. 1973gg),0
12930,94-24617,continues,12868,executive_order,Executive Order 12868,0,model,"Any rules, regulations, orders, licenses, or other forms of administrative action ... issued ... under the authority of ... Executive Order No. 12868 ... are hereby continued in effect",0
12930,94-24617,revoked_by,12938,executive_order,EO 12938,0,fr_disposition_notes,"Revoked by: EO 12938, November 14, 1994",0
12930,94-24617,revokes,12868,executive_order,Executive Order 12868,0,model,Executive Order No. 12868 is revoked,0
12931,94-25837,revokes,12352,executive_order,EO 12352,0,model,Executive Order No. 12352 is revoked.,0
12931,94-25837,revokes,12352,executive_order,EO 12352,0,fr_disposition_notes,"Revokes: EO 12352, March 17, 1982",0
12932,94-25940,revokes,,,"Executive Order Nos. 12775, 12779, 12853, 12872, 12914, 12917, 12920, 12922",0,model,"I hereby revoke Executive Order Nos. 12775, 12779, 12853, 12872, 12914, 12917, 12920, and",1
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,national emergency,0,model,terminate the national emergency declared in Executive Order No. 12775 with respect to Haiti.,0
12932,94-25940,revokes,12775,executive_order,EO 12775,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12779,executive_order,EO 12779,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12853,executive_order,EO 12853,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12872,executive_order,EO 12872,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12914,executive_order,EO 12914,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12917,executive_order,EO 12917,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12920,executive_order,EO 12920,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12932,94-25940,revokes,12922,executive_order,EO 12922,0,fr_disposition_notes,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",0
12933,94-26516,references,12933,executive_order,this order itself,0,model,"appropriate sanctions may be imposed and remedies invoked against the contractor, as provided in Executive Order No. 12933, the regulations, and relevant orders of the Secretary of Labor",0
12934,94-26834,amends,12808,executive_order,Executive Order 12808,0,model,I hereby expand the scope of the national emergency declared in Executive Order No. 12808,0
12934,94-26834,references,12810,executive_order,Executive Order 12810,0,model,The term ``United States person'' is as defined in section 5 of Executive Order No. 12810.,0
12934,94-26834,references,,determination,Determination No. 96-7,0,fr_disposition_notes,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001",0
12934,94-26834,references,,notice,"Notice of May 24, 1996",0,fr_disposition_notes,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001",0
12934,94-26834,references,,notice,"Notice of May 28, 1997",0,fr_disposition_notes,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001",0
12934,94-26834,references,,notice,"Notice of May 25, 2000",0,fr_disposition_notes,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001",0
12934,94-26834,references,,notice,"Notice of May 24, 2001",0,fr_disposition_notes,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001",0
12934,94-26834,revoked_by,13304,executive_order,EO 13304,0,fr_disposition_notes,"Revoked by: EO 13304, May 28, 2003",0
