eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
12958,95-9941,automatic declassification within 5 years from the date of this order,2000-04-17,Agency heads,"within 5 years from the date of this order, all classified information contained in records ... shall be automatically declassified",0
12958,95-9941,notify the President no later than the effective date of this order,1995-10-14,Agency heads,"No later than the effective date of this order, an agency head shall notify the President",0
12958,95-9941,notify the Director at least 180 days before automatic declassification,1999-10-19,Agency heads or senior officials,"At least 180 days before information is automatically declassified under this section, an agency head or senior agency official shall notify the Director",0
12958,95-9941,review existing special access programs within 180 days after the effective date,1996-04-12,Agency heads or principal deputies,"Within 180 days after the effective date of this order, each agency head or principal deputy shall review all existing special access programs",0
12959,95-11694,Effective date of the order,1995-05-07,,"This order is effective at 12:01 a.m., eastern daylight time, on May 7, 1995",0
12959,95-11694,Delayed applicability for sections 1(b)‑(d),1995-06-06,,"section 1(b), (c), and (d) of this order shall not apply until 12:01 a.m., eastern daylight time, on June 6, 1995",0
12960,95-12285,Effective date of the amendments,1995-06-10,,"These amendments shall take effect on June 10, 1995",0
12964,95-15760,Report due on or before February 1 1996,1996-02-01,Commission on United States‑Pacific Trade and Investment Policy,"On or before February 1, 1996, the Commission shall report to the President",0
12964,95-15760,Commission terminates 30 days after final report submission,,Commission on United States‑Pacific Trade and Investment Policy,The Commission shall terminate 30 days after submitting its final report.,0
12965,95-16320,expiration date for the Council’s charter,"June 29, 1997",,"until June 29, 1997, unless otherwise extended",0
12967,95-19174,Parties must submit final offers within 30 days of board creation,,Parties to the disputes,"Within 30 days after creation of the board, the parties to the disputes shall submit to the board final offers for settlement of the disputes.",0
12967,95-19174,Board must submit report within 30 days of receiving final offers,,Emergency board,"Within 30 days after submission of final offers for settlement of the disputes, the board shall submit a report to the President setting forth its selection of the most reasonable offer.",0
12968,95-19654,Agency heads must designate employees (Sec 1.3 (a)),180 days after effective date,Agency heads,Not later than 180 days after the effective date of this order,0
12968,95-19654,Security Policy Board shall develop procedures and a standard financial‑disclosure form (Sec 1.3 (c)),180 days after effective date,Security Policy Board,Not later than 180 days after the effective date of this order,0
12968,95-19654,Security Policy Board shall develop a common set of adjudicative guidelines (Sec 3.1 (f)),180 days after effective date,Security Policy Board,Not later than 180 days after the effective date of this order,0
12968,95-19654,Security Policy Board shall develop a common set of investigative standards (Sec 3.2 (b)),180 days after effective date,Security Policy Board,Not later than 180 days after the effective date of this order,0
12968,95-19654,Security Policy Board shall develop a common set of reinvestigative standards (Sec 3.4 (c)),180 days after effective date,Security Policy Board,Not later than 180 days after the effective date of this order,0
12969,95-19972,EPA must publish guidance in the Federal Register,1995-09-30,EPA,"Not later than September 30, 1995, the EPA shall publish in the Federal Register guidance for compliance with this order",0
12969,95-19972,Federal agencies must add the required eligibility provisions to acquisition solicitations,30 days after EPA guidance issuance,All Federal agencies,"Within 30 days of the issuance of the guidance provided for in subsection 4-401 above, each Federal agency shall include in all acquisition solicitations issued on or after the effective date of this order, the provisions necessary to effect this order",0
12969,95-19972,Incorporate the order’s requirements into the Federal Acquisition Regulations (FAR),90 days after effective date,All Federal agencies,within 90 days after the effective date of this order,0
12970,95-23338,charter expiration date for the United States Advisory Council on the National Information Infrastructure,1996-06-01,,"inserting in lieu thereof ``until June 1, 1996, unless otherwise extended.''",0
12970,95-23338,none,,,"inserting in lieu thereof ``until June 1, 1996, unless otherwise extended.''",0
12974,95-24754,continuance deadline,"September 30, 1997",,"Each advisory committee listed below is continued until September 30, 1997.",0
12974,95-24754,effective date of the order,"September 30, 1995",,"This order shall be effective September 30, 1995.",0
12975,95-24921,Departments and agencies must report the results of their review of human‑subject protections to NBAC,Within 120 days of the date of this order,"All executive‑branch departments and agencies that conduct, support, or regulate research involving human subjects","Within 120 days of the date of this order, each department and agency ... shall report the results",0
12975,95-24921,NBAC will automatically terminate two years after the order’s effective date unless extended,Two years from the date of this order,National Bioethics Advisory Commission,NBAC shall terminate two years from the date of this order unless extended prior to that date.,0
12979,95-26944,Report findings to the President,2 years after October 25 1995,Administrator for Federal Procurement Policy,within 2 years from the date of this order,0
12979,95-26944,Amend the Federal Acquisition Regulation,180 days after October 25 1995,"Administrator of General Services, Secretary of Defense, Administrator of NASA",within 180 days of the date of this order,0
12981,95-30106,License applications must be resolved or referred to the President,90 calendar days after registration,Secretary of Commerce,no later than 90 calendar days after registration of the completed license application,0
12981,95-30106,"Secretary must request additional information, refer the application, and make an initial determination",9 days after registration,Secretary of Commerce,Within 9 days of registration of any license application,0
12981,95-30106,Reviewing department or agency must specify any additional information needed,10 days after receipt of referral,Reviewing department or agency,within 10 days of receipt of a referral as specified in subsection 3(b),0
12981,95-30106,Department or agency must provide a recommendation to the Secretary,30 days after receipt of referral and required information,Reviewing department or agency,Within 30 days of receipt of a referral and all required information,0
12981,95-30106,Appeal deadline for a disagreeing department or agency,5 days after the decision,Disagreeing department or agency,a department or agency must appeal a matter within 5 days of such a decision,0
12981,95-30106,ACEP must communicate its majority‑vote decision,11 days after receipt of appeal notice,Chair of the ACEP,the Chair of the ACEP shall inform the reviewing departments and agencies of the majority vote decision of the ACEP within 11 days from the date of receiving notice of the appeal,0
12981,95-30106,Final appeal window after ACEP majority decision,5 days after majority vote decision,Dissenting department or agency,"Within 5 days of the majority vote decision, any dissenting department or agency may appeal the decision",0
12981,95-30106,Effective date for the new review process,60 days after the order date (December 5 1995),Secretary of Commerce,The license review process in this order shall take effect beginning with those license applications registered by the Secretary 60 days after the date of this order,0
12983,95-31437,by October 1996,,National Partnership Council,(6) reporting to the President by October 1996 on the progress of and results achieved through labor-management partnership throughout the executive branch.,0
12990,96-5263,"effective on January 1, 1996",1996-01-01,,"The adjustments in rates of pay and allowances set forth on the attached schedule are effective on January 1, 1996.",0
12993,96-7460,Head of agency shall certify to the Chairperson of the PCIE/ECIE that the report has been reviewed and any action taken or to be taken.,within sixty 60 days,Head of the agency or entity,the head of the agency or entity shall certify to the Chairperson of the PCIE/ECIE within sixty 60 days that he has personally reviewed the report,0
12993,96-7460,Chairperson may grant a 30‑day extension when circumstances necessitate.,30‑day extension,Chairperson of the PCIE/ECIE,The PCIE/ECIE Chairperson may grant the head of the entity or agency a 30‑day extension when circumstances necessitate such extension.,0
12995,96-7773,minimum content standard of 20 percent post‑consumer materials begins,1994-12-31,,"the minimum content standard shall be no less than 20 percent postconsumer materials beginning December 31, 1994",0
12995,96-7773,minimum content standard increased to 30 percent begins,1998-12-31,,"This minimum content standard shall be increased to 30 percent beginning on December 31, 1998",0
12999,96-9866,agencies must submit an implementation plan to the Office of Science and Technology Policy,within 6 months of the date of this order,All agencies,"shall submit to the Office of Science and Technology Policy, within 6 months of the date of this order, an implementation plan",0
13002,96-12535,termination date,1996-06-30,,"June 30, 1996, as of midnight thereof, is hereby designated as the date of termination of combatant activities in the zone",0
13002,96-12535,termination date,1996-06-30,,"June 30, 1996, as of midnight thereof, is hereby designated as the date of termination of combatant activities in the zone",0
13003,96-12720,Report due 30 days after the Board’s creation,,Emergency Board,The Board shall report to the President with respect to the dispute within 30 days of its creation.,0
13003,96-12720,No changes allowed for 30 days after the Board’s report,,Railroads and employees,"from the date of the creation of the Board and for 30 days after the Board has made its report to the President, no change, except by agreement of the parties shall be made by the railroads or the employees",0
13005,96-13306,December 1 of each year,December 1 (annual),Secretary of Commerce,"by December 1 of each year, issue a report to the President on the status and effectiveness of the program.",0
13005,96-13306,within 90 days of the order date,90 days after May 21 1996,Secretary of Commerce,"draft all rules, regulations, and guidelines necessary to implement this order within 90 days of the date of this order;",0
13007,96-13597,Within 1 year of the effective date of the order,,Agency heads (through the Assistant to the President for Domestic Policy),"Within 1 year of the effective date of this order, the head of each executive branch agency ... shall report to the President ... on the implementation of this order",0
13011,96-18555,Evaluation of the order’s management structure after three years,,Director of OMB,evaluate the effectiveness of the management structure set out in this order after 3 years and make recommendations for any appropriate changes.,0
13012,96-18846,Board must submit report to the President,,Emergency Board,within 30 days of its creation,0
13012,96-18846,No change to dispute conditions may be made,,Carrier and employees,for 120 days thereafter,0
13017,96-23187,preliminary report to the President,1997-09-30,Advisory Commission on Consumer Protection and Quality in the Health Care Industry,"The Commission shall make a preliminary report to the President by September 30, 1997.",0
13017,96-23187,final report to the President,18 months after the Commission's first meeting,Advisory Commission on Consumer Protection and Quality in the Health Care Industry,A final report shall be submitted to the President 18 months after the Commission's first meeting.,0
13017,96-23187,termination of the Commission,30 days after final report (no later than 2 years from order date),Advisory Commission on Consumer Protection and Quality in the Health Care Industry,"The Commission shall terminate 30 days after submitting its final report, but not later than 2 years from the date of this order, unless extended by the President.",0
13019,96-25577,120 days after order date,,Secretary of Health and Human Services,"shall, within 120 days of the date of this order, implement procedures necessary to report to the Secretary of the Treasury information on past‑due child support claims",0
13019,96-25577,30 days after order date (for means‑tested program classes),,Heads of executive departments and agencies,such submission shall be made within 30 days of the date of this order,0
13019,96-25577,annual report,,Secretary of the Treasury,The Secretary shall report annually to the President concerning the implementation by departments and agencies of this order,0
13020,96-26837,Decision must be communicated within 14 days after the recommendation deadline.,,,inform them of his or her decision on any such matters within 14 days after the deadline for receiving department and agency recommendations.,0
13020,96-26837,Appeal must be filed within 5 days of the licensing decision.,,,A department or agency must appeal a matter within 5 days of such a decision.,0
13020,96-26837,ACEP must notify of its decision within 11 days after receiving the appeal.,,,the Chair of the ACEP shall inform the reviewing departments and agencies of the majority vote decision of the ACEP within 11 days from the date of receiving notice of the appeal.,0
13020,96-26837,Dissenting agency may appeal within 5 days after the ACEP’s majority‑vote decision.,,,"Within 5 days of the majority vote decision, any dissenting department or agency may appeal the decision by submitting a letter from the head of the department or agency to the Secretary in his or her capacity as the Chair of the Board.",0
13020,96-26837,Secretary may convene a meeting within the same 5‑day window.,,,"Within the same 5‑day period, the Secretary may call a meeting on his or her own initiative to consider a license application.",0
13021,96-27352,Termination 2 years after 19 Oct 1996 (unless renewed),2 years after 1996‑10‑19,President's Board of Advisors on Tribal Colleges and Universities,The Board shall terminate 2 years after the date of this Executive order unless the Board is renewed by the President prior to the end of that 2-year period.,0
13027,96-29815,Parties must submit final settlement offers within 30 days of board creation.,,Parties to the dispute,"Within 30 days after creation of the board, the parties to the dispute shall submit to the board final offers for settlement of the dispute.",0
13027,96-29815,Board must submit its report within 30 days of receiving the final offers.,,Emergency board,"Within 30 days after submission of final offers for settlement of the dispute, the board shall submit a report to the",1
13029,96-31165,Renaming of the organization,"January 1, 1995",,"Effective January 1, 1995, the Conference on Security and Cooperation in Europe will henceforth be called the Organization for Security and Cooperation in Europe.",0
13031,96-32195,Report due 60 days after order issuance; thereafter annually as part of the agency’s budget submission.,,All Federal agencies,"Sixty (60) days after the date of this Executive order, and annually thereafter ... each agency shall submit a report on its compliance with sections 303 and 304 of the Act.",0
13034,97-2818,status report,1997-04-30,,"shall submit by letter a status report by April 30, 1997",0
13034,97-2818,final supplemental report,1997-10-31,,"and a final supplemental report by October 31, 1997",0
13035,97-3992,Committee terminates 2 years after 11 February 1997 unless extended,2 years from 11 February 1997,President,The Committee shall terminate 2 years from the date of this order unless extended by the President prior to such date.,0
13036,97-4302,Report due within 30 days of board creation,,Emergency Board,The Board shall report to the President with respect to the dispute within 30 days of its creation.,0
13036,97-4302,Status‑quo period of 30 days after report submission,,Parties to the dispute,"for 30 days after the Board has submitted its report to the President, no change in the conditions out of which the dispute arose shall be made by the parties to the controversy, except by agreement of the parties.",0
13037,97-5728,Report to the National Economic Council,1998-03-15,Commission,"The Commission shall report to the National Economic Council by March 15, 1998, or within 1 year from its first meeting.",0
13037,97-5728,Commission termination,30 days after report submission,Commission,The Commission shall terminate 30 days after submitting its report.,0
13038,97-6571,Committee must submit its report to the Vice President,"June 1, 1998",Advisory Committee,"On or before June 1, 1998, the Committee shall report to the Vice President",0
13040,97-8123,preliminary report,1998-01-31,The Commission,"preliminary report to the President by January 31, 1998",0
13040,97-8123,final report,1998-03-30,The Commission,"final report shall be submitted to the President by March 30, 1998",0
13045,97-10695,within 6 months of the date of this order,,Task Force on Environmental Health Risks and Safety Risks to Children,"Within 6 months of the date of this order, the Task Force shall develop or direct to be developed a review of existing and planned data resources",0
13045,97-10695,July 31 1997,1997-07-31,Interagency Forum on Child and Family Statistics,"The Forum shall present the first annual Report to the President, through the Director, by July 31, 1997.",0
13046,97-13450,Termination date for the National Bioethics Advisory Commission,1999-10-03,,"NBAC shall terminate on October 3, 1999, unless extended by the President prior to that date.",0
13047,97-13704,effective date,1997-05-21T05:01:00Z,,"This order shall take effect at 12:01 a.m., eastern daylight time, May 21, 1997.",0
13050,97-16080,termination date,1998-09-30,President,"The Advisory Board shall terminate on September 30, 1998, unless extended by the President prior to such date.",0
13053,97-17566,new termination date for the Council,1999-02-28,,"inserting in lieu thereof the following text: ``February 28, 1999.''",0
13055,97-19341,Develop coordinated strategy and issue report,1 year from the date of this order,Interagency Working Group,"No later than 1 year from the date of this order, develop initially and thereafter assess annually a coordinated strategy for all United States Government‑sponsored international exchange and training programs, and issue a report on such strategy;",0
13055,97-19341,Develop performance‑measure recommendations and issue report,2 years from the date of this order,Interagency Working Group,"No later than 2 years from the date of this order, develop recommendations on performance measures for all United States Government‑sponsored international exchange and training programs, and issue a report thereon;",0
13058,97-21607,no later than 1 year after the date of this order,,,Implementation of the policy set forth in this order shall be achieved no later than 1 year after the date of this order.,0
13060,97-22703,within 30 days of its creation,1997-09-20,Board,The Board shall report to the President with respect to these disputes within 30 days of its creation.,0
13062,97-26364,Continuation deadline for the listed advisory committees,1999-09-30,,"Each advisory committee listed below is continued until September 30, 1999.",0
13064,97-27644,"termination of the Principals Committee, the Steering Committee, and the Advisory Committee; retention of certain Commission staff","March 15, 1998",,"The Principals Committee, the Steering Committee, and the Advisory Committee shall terminate no later than March 15, 1998",0
13067,97-29464,effective date,1997-11-04,,"This order shall take effect at 12:01 a.m. eastern standard time on November 4, 1997",0
13067,97-29464,final date for existing trade contracts,1997-12-04,,"trade transactions under contracts in force as of the effective date of this order may be performed pursuant to their terms through 12:01 a.m. eastern standard time on December 4, 1997",0
13068,97-31456,date on which departments and agencies are to be closed,1997-12-26,,"Friday, December 26, 1997",0
13069,97-33034,effective date,1997-12-15T05:01:00Z,,"This order is effective at 12:01 a.m. eastern standard time on December 15, 1997",0
13075,98-4816,interim report due 9 months after the board’s first meeting,,Special Oversight Board,The Special Oversight Board shall submit an interim report within 9 months of its first meeting,0
13075,98-4816,final report due 18 months after the board’s first meeting (unless the President directs otherwise),,Special Oversight Board,"a final report within 18 months of its first meeting, unless otherwise directed by the President",0
13075,98-4816,board terminates 30 days after its final report is submitted,,Special Oversight Board,The Special Oversight Board shall terminate 30 days after submitting its final report,0
13078,98-7139,first report to the President,1998-11-15,National Task Force,"The Task Force shall issue its first report to the President by November 15, 1998.",0
13078,98-7139,annual reports and final report,1999-11-15,National Task Force,"The Task Force shall issue a report to the President on November 15, 1999, November 15, 2000, and a final report on July 26, 2002",0
13078,98-7139,annual reports and final report,2000-11-15,National Task Force,"The Task Force shall issue a report to the President on November 15, 1999, November 15, 2000, and a final report on July 26, 2002",0
13078,98-7139,final report,2002-07-26,National Task Force,"final report on July 26, 2002",0
13078,98-7139,termination of the Task Force (30 days after final report),,National Task Force,The Task Force shall terminate 30 days after submitting its final report.,0
