eo_number,document_number,kind,detail,created_at
13200,01-3883,dropped_unverifiable,"Executive Order 13035, as amended (Executive Order 13092 and 13113)",2026-09-04T12:00:33+00:00
13212,01-13117,dropped_unverifiable,"agencies shall take appropriate actions, to the extent consistent with applicable law, to expedite projects that will increase the production, transmission, or conservation of energy.",2026-09-04T12:01:46+00:00
13219,01-16668,dropped_unverifiable,I have determined that the actions of persons ... threaten the peace in or diminishing the stability or security of any area or state in the Western Balkans region,2026-09-04T12:02:58+00:00
13224,01-24205,dropped_unverifiable,"UNSC Resolution 1214 of December 8, 1998, UNSCR 1267 of October 15, 1999, UNSCR 1333 of December 19, 2000, and UNSCR 1363 of July 30, 2001",2026-09-04T12:03:17+00:00
13250,02-917,dropped_unverifiable,Section 2. Order of Succession.,2026-09-04T12:05:06+00:00
13251,02-918,dropped_unverifiable,"Sec. 3. (c) Notwithstanding the provisions of this order, the President retains discretion, to the extent permitted by the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq., to depart from this order in designating an acting Secretary.",2026-09-04T12:05:18+00:00
13254,02-2638,dropped_unverifiable,amends EO 13286,2026-09-04T12:05:40+00:00
13272,02-21056,dropped_unverifiable,shall notify Advocacy of any draft rules that may have a significant economic impact on a substantial number of small entities under the Act,2026-09-04T12:07:09+00:00
13286,03-5343,dropped_unverifiable,"Sec. 1. Executive Order 13276 of November 15, 2002 ... is amended by:",2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,"Sec. 54. Executive Order 12002 ... is further amended by inserting “, the Secretary of Homeland Security,” after “The Secretary of Energy”.",2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 55. Executive Order 11965 ... is amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 56. Executive Order 11926 ... is amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 58. Executive Order 11800 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 59. Executive Order 11645 ... is amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 61. Executive Order 11448 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 62. Executive Order 11446 ... is amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 64. Executive Order 11366 ... is amended by striking “The Secretary of Transportation” ... inserting “The Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 66. Executive Order 11231 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 67. Executive Order 11190 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 68. Executive Order 11139 ... is amended by striking “the Secretary of the Treasury” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 69. Executive Order 11079 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 70. Executive Order 11046 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 71. Executive Order 11016 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 72. Executive Order 10977 ... is further amended by striking “the Secretary of Transportation” ... inserting “the Secretary of Homeland Security”.,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 77. Executive Order 10554 ... is amended by:,2026-09-04T12:08:48+00:00
13286,03-5343,dropped_unverifiable,Sec. 80. Executive Order 10271 ... is amended by:,2026-09-04T12:08:48+00:00
13287,03-05344,dropped_unverifiable,"Each agency … shall, by September 30, 2005, and every third year thereafter, prepare a report …",2026-09-04T12:08:02+00:00
13317,03-24919,dropped_unverifiable,Agencies shall consider ... the applicant's use of highly skilled U.S. volunteers,2026-09-04T12:11:18+00:00
13353,04-20049,dropped_unverifiable,thereby established the President's Board on Safeguarding Americans' Civil Liberties (Board).,2026-09-04T12:14:48+00:00
13365,04-27076,dropped_unverifiable,"""These amendments shall take effect 30 days from the date of this order.""",2026-09-04T12:15:54+00:00
13365,04-27076,dropped_unverifiable,"""including chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801-946)""",2026-09-04T12:15:54+00:00
13365,04-27076,dropped_unverifiable,"""prescribed by Executive Order 12473, as amended""",2026-09-04T12:15:54+00:00
13366,04-28079,dropped_unverifiable,the order is revoked_by EO 13547,2026-09-04T12:16:00+00:00
13420,06-9896,dropped_unverifiable,"Sec. 5. (a) Pursuant to 5 U.S.C. 5304a, locality-based comparability payments shall be paid in accordance with Schedule 9 attached hereto and made a part hereof.",2026-09-04T12:20:00+00:00
13423,07-374,dropped_unverifiable,Section 3(d)(i) ... designate a senior civilian officer ... to be responsible for implementation of this order within the agency,2026-09-04T12:20:46+00:00
13423,07-374,dropped_unverifiable,Section 4(a)(i) ... shall establish a Steering Committee ...,2026-09-04T12:20:46+00:00
13435,07-3112,dropped_unverifiable,revoked_by EO 13505,2026-09-04T12:22:58+00:00
13442,07-4023,dropped_unverifiable,"""Section 88 of Executive Order 13286 ... is amended by striking the text of such section in its entirety and inserting the following in lieu thereof:""",2026-09-04T12:22:40+00:00
13443,07-4115,dropped_unverifiable,"shall ... convene not later than 1 year after the date of this order, and periodically thereafter a White House Conference on North American Wildlife Policy (Conference)",2026-09-04T12:23:08+00:00
13452,07-5919,dropped_unverifiable,records ... shall be maintained in the physical custody of the National Mediation Board,2026-09-04T12:23:32+00:00
13456,08-360,dropped_unverifiable,"Section 11. Revocation. Section 801 of Executive Order 12919 of June 3, 1994, is revoked.",2026-09-04T12:23:55+00:00
13463,08-1182,dropped_unverifiable,"""inserting in lieu thereof ``February 28, 2009''""",2026-09-04T12:26:11+00:00
13463,08-1182,dropped_unverifiable,"""by striking ``Economic Policy'' and inserting in lieu thereof ``Homeland Security and Counterterrorism''""",2026-09-04T12:26:11+00:00
13463,08-1182,dropped_unverifiable,"""Section 1. Executive Order 13389 of November 1, 2005, as amended, is further amended""",2026-09-04T12:26:11+00:00
13463,08-1182,dropped_unverifiable,"""Sec. 2. Subsection 5(b) of Executive Order 13390 of November 1, 2005, is amended""",2026-09-04T12:26:11+00:00
13481,E8-29564,dropped_unverifiable,"Sec. 1. ... the following officers, in the order listed, shall act as and perform the functions and duties of the office of Attorney General",2026-09-04T12:28:18+00:00
13514,E9-24518,dropped_unverifiable,the head of an agency must notify the CEQ Chair in writing within 30 days of issuance of the exemption,2026-09-04T12:38:32+00:00
13536,2010-8878,dropped_unverifiable,references EO 13620,2026-09-04T12:33:29+00:00
13536,2010-8878,dropped_unverifiable,"references Notice of April 8, 2026",2026-09-04T12:33:29+00:00
13548,2010-18988,dropped_unverifiable,Executive Order 13583,2026-09-04T12:36:31+00:00
13553,2010-24839,dropped_unverifiable,The Secretary of the State is hereby authorized to exercise the functions and authorities conferred upon the President by section 105(a) of CISADA (22 U.S.C. 8514(a)) with respect to the imposition of the visa sanctions,2026-09-04T12:34:25+00:00
13592,2011-31624,dropped_unverifiable,"Each agency ... shall develop and implement a two-part, 4-year plan of the agency's efforts to fulfill the purposes of this order.",2026-09-04T12:42:15+00:00
13604,2012-7636,dropped_unverifiable,"Dashboard ... created pursuant to my memorandum of August 31, 2011",2026-09-04T12:43:16+00:00
13607,2012-10715,dropped_unverifiable,"The Secretary of Veterans Affairs shall provide to prospective military and veteran students, prior to using their benefits, streamlined tools to compare educational institutions",2026-09-04T12:43:31+00:00
13607,2012-10715,dropped_unverifiable,"Within 90 days, the Secretaries of Defense and Veterans Affairs shall submit to the President a plan to strengthen enforcement and compliance mechanisms",2026-09-04T12:43:31+00:00
13609,2012-10968,dropped_unverifiable,consider reforms to existing significant regulations that address unnecessary differences in regulatory requirements between the United States and its major trading partners,2026-09-04T12:44:25+00:00
13609,2012-10968,dropped_unverifiable,references EO 12866,2026-09-04T12:44:25+00:00
13609,2012-10968,dropped_unverifiable,references EO 13563,2026-09-04T12:44:25+00:00
13611,2012-12225,dropped_unverifiable,"""The Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to take such actions, including the promulgation of rules and regulations""",2026-09-04T12:44:42+00:00
13611,2012-12225,dropped_unverifiable,"""The Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to submit the recurring and final reports to the Congress""",2026-09-04T12:44:42+00:00
13611,2012-12225,dropped_unverifiable,"""including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA)""",2026-09-04T12:44:42+00:00
13611,2012-12225,dropped_unverifiable,"""the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA)""",2026-09-04T12:44:42+00:00
13611,2012-12225,dropped_unverifiable,"""the agreement of November 23, 2011, between the Government of Yemen and those in opposition to it""",2026-09-04T12:44:42+00:00
13613,2012-12882,dropped_unverifiable,Deputy Secretary of Commerce; General Counsel of the Department of Commerce; Under Secretary of Commerce for International Trade; Under Secretary of Commerce for Economic Affairs; Under Secretary of Commerce for Standards and Technology; Under Secretary of Commerce for Oceans and Atmosphere and Admi,2026-09-04T12:45:45+00:00
13624,2012-22030,dropped_unverifiable,"coordinate and encourage efforts to achieve a national goal of deploying 40 gigawatts of new, cost-effective industrial CHP in the United States by the end of 2020;",2026-09-04T12:46:45+00:00
13625,2012-22062,dropped_unverifiable,"the Task Force shall be co‑chaired by the Secretaries of Defense, Veterans Affairs, and Health and Human Services",2026-09-04T12:51:14+00:00
13654,2013-28581,dropped_unverifiable,references EO 13663,2026-09-04T12:50:43+00:00
13666,2014-09343,dropped_unverifiable,"`or to any member of the armed forces of a friendly foreign nation,`",2026-09-04T12:51:51+00:00
13673,2014-18561,dropped_unverifiable,"the Secretary of Labor shall develop guidance, in consultation with the agencies responsible for enforcing the requirements of the labor laws",2026-09-04T12:52:38+00:00
13673,2014-18561,dropped_unverifiable,contractors ... shall update the information ... every 6 months,2026-09-04T12:52:38+00:00
13673,2014-18561,dropped_unverifiable,the Secretary of Labor shall develop guidance ... to assist agencies in determining whether ... violations ... were issued,2026-09-04T12:52:38+00:00
13677,2014-23228,dropped_unverifiable,"The Working Group shall: (B) assess and identify, for agencies with direct international development programs and investments, existing climate‑change data, tools, and information, as described in section 3 of this order, to help agencies assess climate risks and make decisions that incorporate clim",2026-09-04T12:54:02+00:00
13677,2014-23228,dropped_unverifiable,"The Working Group shall: (C) identify approaches for adjusting strategies, planning, programs, projects, investments, and related funding decisions, including the planning for and management of overseas facilities, to respond to the findings of climate‑risk assessments;",2026-09-04T12:54:02+00:00
13677,2014-23228,dropped_unverifiable,"The Working Group shall: (D) facilitate the exchange of knowledge, data, tools, information, frameworks, and lessons learned in assessing climate risks to and incorporating climate‑resilience considerations into strategies, planning, programs, projects, investments, and related funding decisions, in",2026-09-04T12:54:02+00:00
13677,2014-23228,dropped_unverifiable,The Working Group shall: (E) work through existing channels to share best practices developed by the Working Group with other donor countries and multilateral entities to facilitate advancement of climate‑resilient development policies;,2026-09-04T12:54:02+00:00
13677,2014-23228,dropped_unverifiable,"The Working Group shall: (F) promote interagency collaboration, including through joint training; and",2026-09-04T12:54:02+00:00
13677,2014-23228,dropped_unverifiable,"The Working Group shall: (G) develop, for agencies with direct international development programs and investments, methods for tracking and reporting on Federal Government progress in institutionalizing more climate‑resilient development approaches, including performance metrics.",2026-09-04T12:54:02+00:00
13681,2014-25439,dropped_unverifiable,"agencies shall, as soon as possible, transition payment processing terminals and credit, debit, and other payment cards to employ enhanced security features, including chip-and-PIN technology",2026-09-04T12:54:57+00:00
13691,2015-03714,dropped_unverifiable,"Sec. 4(c) ... in accordance with Executive Order 13526 of December 29, 2009, ...",2026-09-04T12:55:34+00:00
13691,2015-03714,dropped_unverifiable,"Sec. 6(c) ... in accordance with Executive Order 13526 of December 29, 2009, shall be responsible for implementing and monitoring the National Industrial Security Program",2026-09-04T12:55:34+00:00
13691,2015-03714,dropped_unverifiable,"Sec. 6(d) ... Executive Order 12333 of December 8, 1981, as amended",2026-09-04T12:55:34+00:00
13691,2015-03714,dropped_unverifiable,"Sec. 6(g) ... substituting ``Executive Order 13526 of December 29, 2009, or any successor order,'' for ``Executive Order No. 12356 of April 2, 1982.''",2026-09-04T12:55:34+00:00
13691,2015-03714,dropped_unverifiable,"Sec. 6(h) ... substituting ``the Director of National Intelligence, and the Secretary of Homeland Security'' for ``and the Director of Central Intelligence.''",2026-09-04T12:55:34+00:00
13693,2015-07016,dropped_unverifiable,"the Chair of CEQ shall, in coordination with the Director of OMB, establish a Federal Interagency Sustainability Steering Committee (Steering Committee) that shall advise the Director of OMB and the Chair of CEQ",2026-09-04T12:56:36+00:00
13725,2016-09346,dropped_unverifiable,"Agencies shall use those authorities to promote competition, arm consumers and workers with the information they need to make informed choices, and eliminate regulations that restrict competition.",2026-09-04T13:01:35+00:00
13725,2016-09346,dropped_unverifiable,"Subsequently, agencies shall report semi- annually to the President, through the Director of the National Economic Council, on additional actions they plan to undertake to promote greater competition.",2026-09-04T13:01:35+00:00
13726,2016-09483,dropped_unverifiable,"I hereby expand the scope of the national emergency declared in Executive Order 13566 of February 25, 2011",2026-09-04T12:59:40+00:00
13742,2016-24847,dropped_unverifiable,"revoke that order, Executive Order 13651 of August 6, 2013",2026-09-04T13:01:29+00:00
13751,2016-29519,dropped_unverifiable,"""A National Invasive Species Council (Council) is hereby established.""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""The Secretary of the Interior shall maintain the current Invasive Species Advisory Committee""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""shall within 1 year of this order, and as requested by the Council thereafter, provide the Office of Science and Technology Policy and the Council a report on public health impacts associated with invasive species.""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""By December 31, 2019, the Council shall publish a National Invasive Species Council Management Plan (Management Plan)""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""publish an assessment by 2020 that identifies the most pressing scientific, technical, and programmatic coordination challenges""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""Within 1 year of the date of this order, the Co‑Chairs of the Council shall, with consensus of its members, complete a charter""",2026-09-04T13:05:16+00:00
13751,2016-29519,dropped_unverifiable,"""shall provide the Council with annual information on actions taken that implement these duties""",2026-09-04T13:05:16+00:00
13753,2016-30272,dropped_unverifiable,"""Section 88 of Executive Order 13286 ... is amended by striking the text of such section in its entirety and inserting the following in lieu thereof:""",2026-09-04T13:02:44+00:00
13754,2016-30277,dropped_unverifiable,shall submit any proposed routing measures to the International Maritime Organization by 2018,2026-09-04T13:03:17+00:00
13798,2017-09574,dropped_unverifiable,All executive departments and agencies shall ... respect and protect the freedom of persons and organizations to engage in religious and political speech.,2026-09-04T13:06:01+00:00
13810,2017-20647,dropped_unverifiable,"pursuant to Executive Order 13687 of January 2, 2015",2026-09-04T13:09:44+00:00
13810,2017-20647,dropped_unverifiable,"pursuant to Executive Order 13722 of March 15, 2016",2026-09-04T13:09:44+00:00
13826,2018-05113,dropped_unverifiable,This order ... shall terminate 3 years after the date of this order.,2026-09-04T13:08:31+00:00
13827,2018-05916,dropped_unverifiable,"""any digital currency, digital coin, or digital token, that was issued by, for, or on behalf of the Government of Venezuela on or after January 9, 2018, are prohibited""",2026-09-04T13:08:54+00:00
13827,2018-05916,dropped_unverifiable,"""by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States C",2026-09-04T13:08:54+00:00
13832,2018-10403,dropped_unverifiable,references EO 14100,2026-09-04T13:09:22+00:00
13833,2018-10855,dropped_unverifiable,"Consistent with 40 U.S.C. 11315(b), the CIO serves as the primary strategic advisor to the agency head concerning the use of IT",2026-09-04T13:09:35+00:00
13839,2018-11939,dropped_unverifiable,"Within a time following the adoption of any final rules, the OPM Director and the Chief Human Capital Officers Council shall undertake a Government-wide initiative",2026-09-04T13:10:34+00:00
13851,2018-26156,dropped_unverifiable,"Sec. 2 ... the entry of such persons into the United States, as immigrants or nonimmigrants, is hereby suspended, except where the Secretary of State determines that the person's entry is in the national interest of the United States.",2026-09-04T13:10:56+00:00
13851,2018-26156,dropped_unverifiable,"Sec. 9 ... the Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to submit the recurring and final reports to the Congress on the national emergency declared in this order, consistent with section 401(c) of the NEA (50 U.S.C. 1641(c)) and section 204(c) of ",2026-09-04T13:10:56+00:00
13855,2019-00014,dropped_unverifiable,the Secretaries shall each implement the following policies in their respective departments,2026-09-04T13:11:26+00:00
13879,2019-15159,dropped_unverifiable,the Secretary shall: (b) produce a strategy for encouraging innovation in new therapies through the Kidney Innovation Accelerator (KidneyX),2026-09-04T13:14:22+00:00
13904,2020-02439,dropped_unverifiable,"USPS should collaborate with the Secretary of State to notify the international postal network, via circular or the functional equivalent, of the policy of the United States Government set forth in section 1 of this order.",2026-09-04T13:19:09+00:00
13904,2020-02439,dropped_unverifiable,The Secretary shall prioritize targeted inspection of imports into the United States from any international post that for two or more consecutive quarters is deemed a non‑compliant international post.,2026-09-04T13:19:09+00:00
13925,2020-12030,dropped_unverifiable,online platforms function in many ways as a 21st century equivalent of the public square,2026-09-04T13:20:06+00:00
13927,2020-12584,dropped_unverifiable,the heads of all agencies shall identify planned or potential actions to facilitate the Nation's economic recovery that may be subject to emergency treatment as alternative arrangements pursuant to CEQ's NEPA regulations,2026-09-04T13:23:39+00:00
13927,2020-12584,dropped_unverifiable,"the heads of all agencies shall identify planned or potential actions to facilitate the Nation's economic recovery that may be subject to the regulation on consultations in emergencies, see 50 C.F.R. 402.05, promulgated by the Secretary of the Interior and the Secretary of Commerce pursuant to the E",2026-09-04T13:23:39+00:00
13927,2020-12584,dropped_unverifiable,"the heads of all agencies shall review all statutes, regulations, and guidance documents that may provide for emergency or expedited treatment (including waivers, exemptions, or other streamlining) with regard to agency actions pertinent to infrastructure, energy, environmental, or natural resources",2026-09-04T13:23:39+00:00
13927,2020-12584,dropped_unverifiable,revoked_by EO 13990,2026-09-04T13:23:39+00:00
13953,2020-22064,dropped_unverifiable,"Sec. 3. ... consider whether the authority delegated at section 306 of Executive Order 13603 of March 16, 2012 (National Defense Resources Preparedness) can be used",2026-09-04T13:24:00+00:00
13957,2020-23780,dropped_unverifiable,"The Director shall ... adopt such regulations ... giving particular attention to 5 CFR, part 212, subpart D; 5 CFR, part 213, subparts A and C; and 5 CFR 302.101;",2026-09-04T13:25:12+00:00
13960,2020-27065,dropped_unverifiable,consistent with the goals of Executive Order 13859.,2026-09-04T13:23:59+00:00
13961,2020-27353,dropped_unverifiable,"Section 5. Amendment to PPD-40. To designate a new National Continuity Coordinator (NCC), ... the second sentence is hereby revised to read as follows:",2026-09-04T13:24:36+00:00
13964,2020-27740,dropped_unverifiable,revoked_by EO 14029,2026-09-04T13:24:24+00:00
13979,2021-01644,dropped_unverifiable,"the term “agency” has the meaning given that term in section 3(b) of Executive Order 12866 of September 30, 1993 (Regulatory Planning and Review), as amended, or any successor order",2026-09-04T13:25:12+00:00
13988,2021-01761,dropped_unverifiable,references EO 14091,2026-09-04T13:26:00+00:00
14004,2021-02034,dropped_unverifiable,"The Secretary of Defense shall: (ii) identify and examine the records of service members who have been involuntarily separated, discharged, or denied reenlistment … on the basis of gender identity;",2026-09-04T13:29:56+00:00
14004,2021-02034,dropped_unverifiable,The Secretary of Defense shall: (iii) issue guidance … regarding the correction of the military records of individuals described in subsection (b)(ii) …,2026-09-04T13:29:56+00:00
14004,2021-02034,dropped_unverifiable,The Secretary of Defense shall: (iv) direct the Secretaries of each military department to provide supplemental guidance … to the boards for the correction of military records …,2026-09-04T13:29:56+00:00
14004,2021-02034,dropped_unverifiable,The Secretary of Homeland Security … shall: (ii) identify and examine the records of service members … on the basis of gender identity;,2026-09-04T13:29:56+00:00
14004,2021-02034,dropped_unverifiable,The Secretary of Homeland Security … shall: (iii) issue guidance … regarding the correction of the military records of individuals described in subsection (c)(ii) …,2026-09-04T13:29:56+00:00
14004,2021-02034,dropped_unverifiable,The Secretary of Homeland Security … shall: (iv) provide supplemental guidance to the Board for Correction of Military Records of the Coast Guard …,2026-09-04T13:29:56+00:00
14008,2021-02177,dropped_unverifiable,"within ... 100 days of the date of this order, publish a report identifying the climate strategies and technologies that will result in the most air and water quality improvements",2026-09-04T13:27:53+00:00
14017,2021-04280,dropped_unverifiable,APNSA and the APEP shall coordinate the executive branch actions necessary to implement this order,2026-09-04T13:28:43+00:00
14019,2021-05087,dropped_unverifiable,The Steering Group shall produce a report within 1 year of the date of this order,2026-09-04T13:29:28+00:00
14028,2021-10460,dropped_unverifiable,references EO 14141,2026-09-04T13:29:33+00:00
14028,2021-10460,dropped_unverifiable,references EO 14144,2026-09-04T13:29:33+00:00
14032,2021-12019,dropped_unverifiable,All executive departments and agencies of the United States shall take all appropriate measures within their authority to carry out the provisions of this order,2026-09-04T13:29:39+00:00
14033,2021-12382,dropped_unverifiable,"I hereby expand the scope of the national emergency declared in Executive Order 13219 of June 26, 2001, as amended by Executive Order 13304",2026-09-04T13:30:06+00:00
14036,2021-15069,dropped_unverifiable,is encouraged to consider commencing or continuing a rulemaking under section 1033 of the Dodd-Frank Act,2026-09-04T13:30:26+00:00
14038,2021-17253,dropped_unverifiable,"I hereby expand the scope of the national emergency declared in Executive Order 13405 of June 16, 2006",2026-09-04T13:29:57+00:00
14042,2021-19924,dropped_unverifiable,"Executive departments and agencies ... shall, to the extent permitted by law, ensure that contracts ... include a clause ... that the contractor or subcontractor shall ... comply with all guidance ... published by the Safer Federal Workforce Task Force ... provided that the Director of the Office of",2026-09-04T13:30:40+00:00
14057,2021-27114,dropped_unverifiable,agencies shall annually divert from landfills at least 50 percent of non‑hazardous solid waste … by fiscal year 2025; and 75 percent by fiscal year 2030,2026-09-04T13:31:07+00:00
14058,2021-27380,dropped_unverifiable,The Secretary of Education shall: (ii) design and deliver a repayment portal capability on StudentAid.gov for Direct Loan borrowers.,2026-09-04T13:32:11+00:00
14058,2021-27380,dropped_unverifiable,"Executive Order 14091 of July 9, 2021 (Improving the Nation’s Cybersecurity)",2026-09-04T13:32:11+00:00
14066,2022-05232,dropped_unverifiable,"I hereby expand the scope of the national emergency declared in Executive Order 14024 of April 15, 2021",2026-09-04T13:33:06+00:00
14070,2022-07716,dropped_unverifiable,agencies ... shall review agency actions to identify ways to continue to expand the availability of affordable health coverage,2026-09-04T13:34:01+00:00
