EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14162,Putting America First in International Environmental Agreements,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,2025-01-20,2025-01-30,90 FR 8455,2025-02010
EO 14161,Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety,2025-01-20,2025-01-30,90 FR 8451,2025-02009
EO 14160,Protecting the Meaning and Value of American Citizenship,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship,2025-01-20,2025-01-29,90 FR 8449,2025-02007
EO 14159,Protecting the American People Against Invasion,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion,2025-01-20,2025-01-29,90 FR 8443,2025-02006
EO 14158,"Establishing and Implementing the President's ""Department of Government Efficiency""",https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency,2025-01-20,2025-01-29,90 FR 8441,2025-02005
EO 14157,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially,2025-01-20,2025-01-29,90 FR 8439,2025-02004
EO 14156,Declaring a National Energy Emergency,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency,2025-01-20,2025-01-29,90 FR 8433,2025-02003
EO 14155,Withdrawing the United States From the World Health Organization,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization,2025-01-20,2025-01-29,90 FR 8361,2025-01957
EO 14154,Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,2025-01-20,2025-01-29,90 FR 8353,2025-01956
EO 14153,Unleashing Alaska's Extraordinary Resource Potential,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential,2025-01-20,2025-01-29,90 FR 8347,2025-01955
EO 14152,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of,2025-01-20,2025-01-29,90 FR 8343,2025-01954
EO 14151,Ending Radical and Wasteful Government DEI Programs and Preferencing,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing,2025-01-20,2025-01-29,90 FR 8339,2025-01953
EO 14150,America First Policy Directive to the Secretary of State,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state,2025-01-20,2025-01-29,90 FR 8337,2025-01952
EO 14149,Restoring Freedom of Speech and Ending Federal Censorship,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship,2025-01-20,2025-01-28,90 FR 8243,2025-01902
EO 14148,Initial Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,2025-01-20,2025-01-28,90 FR 8237,2025-01901
EO 14147,Ending the Weaponization of the Federal Government,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government,2025-01-20,2025-01-28,90 FR 8235,2025-01900
